s_m,x_m,y_m,heading_rad
0.000000,-101.919263,-457.524908,1.793664370732
1.963619,-102.347907,-455.608644,1.788055597631
3.928633,-102.766076,-453.688641,1.782428805248
5.894970,-103.173691,-451.765017,1.776783246543
7.862560,-103.570675,-449.837890,1.771118176999
9.831336,-103.956948,-447.907380,1.765432854525
11.801227,-104.332431,-445.973605,1.759726539361
13.772167,-104.697047,-444.036685,1.753998494006
15.744089,-105.050717,-442.096738,1.748247983140
17.716927,-105.393362,-440.153884,1.742474273571
19.690616,-105.724904,-438.208240,1.736676634187
21.665092,-106.045264,-436.259927,1.730854335915
23.640292,-106.354363,-434.309062,1.725006651701
25.616154,-106.652124,-432.355765,1.719132856493
27.592617,-106.938468,-430.400155,1.713232227239
29.569620,-107.213315,-428.442350,1.707304042900
31.547104,-107.476588,-426.482469,1.701347584465
33.525012,-107.728208,-424.520632,1.695362134995
35.503285,-107.968096,-422.556957,1.689346979664
37.481868,-108.196175,-420.591563,1.683301405819
39.460707,-108.412364,-418.624569,1.677224703061
41.439748,-108.616587,-416.656094,1.671116163325
43.418937,-108.808764,-414.686257,1.664975080987
45.398224,-108.988816,-412.715176,1.658800752977
47.377559,-109.156666,-410.742971,1.652592478913
49.356893,-109.312235,-408.769761,1.646349561246
51.336178,-109.455444,-406.795663,1.640071305420
53.315368,-109.586214,-404.820798,1.633757020053
55.294419,-109.704468,-402.845284,1.627406017127
57.273286,-109.810126,-400.869239,1.621017612201
59.251927,-109.903110,-398.892784,1.614591124639
61.230302,-109.983342,-396.916036,1.608125877852
63.208372,-110.050743,-394.939115,1.601621199562
65.186098,-110.105234,-392.962140,1.595076422082
67.163445,-110.146737,-390.985229,1.588490882616
69.140377,-110.175174,-389.008501,1.581863923579
71.116862,-110.190465,-387.032075,1.575194892926
73.092868,-110.192533,-385.056071,1.568483144522
75.068364,-110.181298,-383.080606,1.561728038505
77.043323,-110.156683,-381.105801,1.554928941694
79.017718,-110.118609,-379.131773,1.548085228000
80.991525,-110.066996,-377.158641,1.541196278869
82.964719,-110.001768,-375.186526,1.534261483739
84.937280,-109.922844,-373.215544,1.527280240521
86.909188,-109.830147,-371.245816,1.520251956106
88.880426,-109.723598,-369.277460,1.513176046886
90.850977,-109.603119,-367.310595,1.506051939301
92.820828,-109.468631,-365.345340,1.498879070412
94.789967,-109.320055,-363.381814,1.491656888489
96.758385,-109.157313,-361.420136,1.484384853625
98.726072,-108.980326,-359.460424,1.477062438375
100.693024,-108.789016,-357.502798,1.469689128411
102.659237,-108.583305,-355.547376,1.462264423205
104.624708,-108.363113,-353.594278,1.454787836731
106.589439,-108.128363,-351.643621,1.447258898191
108.553432,-107.878975,-349.695526,1.439677152757
110.516693,-107.614872,-347.750111,1.432042162342
112.443602,-107.351023,-345.841351,1.434728833608
114.371423,-107.091598,-343.931065,1.436804221636
116.300034,-106.835449,-342.019540,1.438269536620
118.229307,-106.581433,-340.107062,1.439125761320
120.159109,-106.328402,-338.193920,1.439373635817
122.089307,-106.075212,-336.280401,1.439013648883
124.019766,-105.820718,-334.366790,1.438046035862
125.950355,-105.563774,-332.453377,1.436470783040
127.880946,-105.303234,-330.540446,1.434287638480
129.811419,-105.037953,-328.628287,1.431496129369
131.741663,-104.766786,-326.717185,1.428095585924
133.671576,-104.488587,-324.807429,1.424085171975
135.601071,-104.202210,-322.899305,1.419463922316
137.530075,-103.906511,-320.993099,1.414230786987
139.458533,-103.600344,-319.089101,1.408384682598
141.386409,-103.282563,-317.187595,1.401924550844
143.313690,-102.952024,-315.288870,1.394849424308
145.240386,-102.607579,-313.393213,1.387158499631
147.166534,-102.248085,-311.500911,1.378851218045
149.092197,-101.872396,-309.612251,1.369927353214
151.017473,-101.479365,-307.727520,1.360387106197
152.942488,-101.067849,-305.847005,1.350231207238
154.867405,-100.636700,-303.970993,1.339461023913
156.792426,-100.184775,-302.099772,1.328078674999
158.717790,-99.710927,-300.233628,1.316087149212
160.643776,-99.214011,-298.372849,1.303490427708
162.501666,-98.669993,-296.596392,1.244400029585
164.381842,-98.016951,-294.833270,1.188351613048
166.285081,-97.259464,-293.087265,1.135132826889
168.211487,-96.402111,-291.362161,1.084503356382
170.160579,-95.449469,-289.661741,1.036207802025
172.131369,-94.406116,-287.989787,0.989984995959
174.122440,-93.276631,-286.350083,0.945574324434
176.132012,-92.065592,-284.746411,0.902719669315
178.157999,-90.777577,-283.182556,0.861171534752
180.198073,-89.417165,-281.662301,0.820687838100
182.249707,-87.988933,-280.189427,0.781033748457
184.310228,-86.497460,-278.767719,0.741980868179
186.376856,-84.947324,-277.400959,0.703305979867
188.446750,-83.343103,-276.092931,0.664789525469
190.517045,-81.689375,-274.847418,0.626213944946
192.584889,-79.990719,-273.668202,0.587361978007
194.647490,-78.251713,-272.559068,0.548015022491
196.702148,-76.476935,-271.523798,0.507951646216
198.746305,-74.670963,-270.566174,0.466946365395
200.777583,-72.838376,-269.689981,0.424768832153
202.793837,-70.983751,-268.899002,0.381183616812
204.793207,-69.111667,-268.197019,0.335950826986
206.774172,-67.226702,-267.587815,0.288827873107
208.735616,-65.333435,-267.075175,0.239572762721
210.676895,-63.436443,-266.662880,0.187949370955
212.597912,-61.540304,-266.354714,0.133735168831
214.499194,-59.649598,-266.154460,0.076731857247
216.381974,-57.768901,-266.065902,0.016779199663
218.248277,-55.902793,-266.092822,-0.046227993088
220.100994,-54.055852,-266.239003,-0.112320354473
222.051849,-52.118378,-266.467102,-0.122004884517
224.001945,-50.183914,-266.713527,-0.131347277491
225.951475,-48.252352,-266.977605,-0.140345215513
227.900615,-46.323583,-267.258662,-0.148996749067
229.849522,-44.397495,-267.556024,-0.157300267097
231.798334,-42.473982,-267.869019,-0.165254467409
233.747176,-40.552932,-268.196972,-0.172858327579
235.696155,-38.634237,-268.539211,-0.180111076551
237.645362,-36.717788,-268.895061,-0.187012167084
239.594874,-34.803474,-269.263849,-0.193561249167
241.544757,-32.891188,-269.644901,-0.199758144524
243.495059,-30.980819,-270.037545,-0.205602822279
245.445819,-29.072258,-270.441106,-0.211095375864
247.397064,-27.165396,-270.854911,-0.216236001205
249.348809,-25.260124,-271.278287,-0.221024976245
251.301061,-23.356332,-271.710560,-0.225462641796
253.253813,-21.453910,-272.151056,-0.229549383769
255.207055,-19.552751,-272.599102,-0.233285616762
257.160765,-17.652743,-273.054025,-0.236671769008
259.114915,-15.753779,-273.515151,-0.239708268686
261.069471,-13.855748,-273.981806,-0.242395531574
263.024392,-11.958541,-274.453317,-0.244733950028
