s_m,x_m,y_m,heading_rad
0.000000,172.521165,53.550000,2.062926036377
0.469972,172.295898,53.962467,2.074547561057
0.939945,172.070632,54.374934,2.062926036377
2.919538,171.135304,56.119627,2.062884924239
4.899136,170.200033,57.864355,2.062858655644
6.878739,169.264793,59.609105,2.062847230481
8.858345,168.329558,61.353861,2.062850648656
10.837954,167.394303,63.098611,2.062868910091
12.817566,166.459001,64.843339,2.062902014724
14.797181,165.523628,66.588031,2.062949962510
16.776798,164.588156,68.332674,2.063012753423
18.756417,163.652562,70.077252,2.063090387451
20.736038,162.716818,71.821753,2.063182864598
22.715660,161.780899,73.566160,2.063290184883
24.695282,160.844780,75.310462,2.063412348341
26.674906,159.908435,77.054642,2.063549355020
28.654529,158.971837,78.798687,2.063701204982
30.634152,158.034962,80.542583,2.063867898300
32.613775,157.097784,82.286316,2.064049435060
34.593397,156.160276,84.029870,2.064245815356
36.573018,155.222414,85.773233,2.064457039292
38.552638,154.284171,87.516389,2.064683106981
40.532256,153.345521,89.259326,2.064924018540
42.511873,152.406440,91.002027,2.065179774093
44.491488,151.466901,92.744480,2.065450373765
46.471101,150.526878,94.486670,2.065735817684
48.450712,149.586346,96.228582,2.066036105977
50.430321,148.645279,97.970203,2.066351238770
52.409927,147.703652,99.711519,2.066681216182
54.389531,146.761438,101.452514,2.067026038330
56.369133,145.818613,103.193176,2.067385705318
58.348732,144.875149,104.933489,2.067760217243
60.328329,143.931022,106.673439,2.068149574187
62.307924,142.986206,108.413013,2.068553776217
64.287516,142.040674,110.152196,2.068972823381
66.267107,141.094403,111.890974,2.069406715708
68.246696,140.147364,113.629333,2.069855453202
70.226283,139.199534,115.367257,2.070319035841
72.205869,138.250886,117.104735,2.070797463573
74.185453,137.301394,118.841750,2.071290736315
76.165037,136.351033,120.578288,2.071798853946
78.144621,135.399777,122.314337,2.072321816308
80.124205,134.447600,124.049881,2.072859623201
82.103790,133.494477,125.784905,2.073412274378
84.083375,132.540382,127.519397,2.073979769542
86.062963,131.585288,129.253342,2.074562108346
88.042553,130.629172,130.986725,2.075159290385
89.919647,129.716872,132.627210,2.082853691091
91.864034,128.751760,134.315167,2.098806444477
93.852873,127.730262,136.021632,2.122874766085
95.864343,126.648802,137.717644,2.155446884653
97.878126,125.503806,139.374239,2.197384188592
99.876033,124.291699,140.962454,2.250005718400
101.842823,123.008905,142.453327,2.315075603147
103.767308,121.651849,143.817894,2.394736147637
105.643825,120.216957,145.027192,2.491288905571
107.474110,118.700653,146.052260,2.606676016234
109.269456,117.099363,146.864133,2.741521666162
111.052761,115.409511,147.433849,2.893821388459
112.859593,113.627523,147.732446,3.057938387562
114.645895,111.841727,147.774971,3.178850675840
116.375087,110.120804,147.606066,3.300254196058
118.074194,108.461902,147.238628,3.418201612273
119.766837,106.862168,146.685552,3.529296659145
