Easting,Northing,Up
-16.662711566284013,7.315417467311882,-2.15893104866642
-17.09344739932512,6.747342776684102,-2.1549315575064223
-17.52400429840978,6.179157132305957,-2.150932148488937
-17.954561257087427,5.610971510376524,-2.1469328173697417
-18.385028778763072,5.042674934738826,-2.142933564543493
-18.815406866964764,4.474267407287684,-2.1379343928406267
-19.2456955139752,3.9058599003646823,-2.1339353016397213
-19.675894731130857,3.3374524151595537,-2.128936288411657
-20.106004507775925,2.7688230034896346,-2.1249373558304816
-20.536024851115993,2.200193611356334,-2.1199385014087113
-20.966045249599382,1.631564241538794,-2.1149397270498964
-21.395886719367887,1.0628239174377825,-2.1099410325529107
-21.82563875675609,0.4939726408409154,-2.1039424174787453
-22.255301353104954,-0.07498958883872664,-2.0989438804810536
-22.68487450363812,-0.6439517968014278,-2.096945425031127
-23.114358231338862,-1.2130249591222446,-2.090947048891321
-23.543752521395525,-1.7820981012646033,-2.0849487522789865
-23.973057375391264,-2.351393168990992,-2.079950533593769
-24.40227279217811,-2.9205772427435104,-2.073952395044124
-24.831309282664368,-3.4899832443882675,-2.0679543362774844
-25.26034582563562,-4.059389225442861,-2.061956356811687
-25.68920344713552,-4.629017134559524,-2.0549584563966943
-26.117882132336668,-5.198534049188976,-2.0489606354718783
-26.546560880170798,-5.76827289126534,-2.0419628944265744
-26.9750606964798,-6.338011712374715,-2.034965232408493
-27.403471077464808,-6.9078614890280985,-2.027967650116629
-27.831792024200343,-7.47782221816778,-2.0209701485451337
-28.26002353176571,-8.047893901521508,-2.0139727245852233
-28.68807611297552,-8.61807653981797,-2.005975380658116
-29.115949760998564,-9.188259157772322,-1.9989781146385925
-29.543823471012516,-9.758552730034669,-1.9909809302882122
-29.97151825014341,-10.328957256712366,-1.982983824840745
-30.399034106086354,-10.8994727383797,-1.9739867970191312
-30.826460520442087,-11.46998819899891,-1.96598984961871
-31.253797503455548,-12.040725589511913,-1.9569929827077859
-31.680955554359514,-12.611462961643632,-1.9479961944657909
-32.10793467719068,-13.182422260449925,-1.9389994837408864
-32.534824362377755,-13.75338154132119,-1.930002854208774
-32.961624591622716,-14.324451765644877,-1.925006303955496
-33.38824591760015,-14.895632955765645,-1.9150098327241167
-33.81468831339224,-15.466925101585904,-1.9050134394469875
-34.24104127078692,-16.03832820078957,-1.8950171280254553
-34.66721530525681,-16.60973128451035,-1.8840208932086586
-35.09321040848629,-17.18135629672832,-1.8730247397036761
-35.51911607708947,-17.753092264278827,-1.8620286638660284
-35.944842817562126,-18.324939185396623,-1.8510326696362656
-36.37048012356106,-18.89678609214921,-1.839036752849326
-36.79584900721018,-19.468854927632997,-1.8270409154964469
-37.22112845608109,-20.04092374371669,-1.8150451574037305
-37.646318467894375,-20.613214489476366,-1.8030494798160852
-38.07124006471261,-21.185616192914587,-1.7900538817007448
-38.495982726668835,-21.7580178799413,-1.777058360382016
-38.920635963014504,-22.33064149841852,-1.763062919018175
-39.34511026926902,-22.903376073472767,-1.7490675575514398
-39.76940564424454,-23.476221602796286,-1.7350722751844057
-40.193522089524855,-24.049178089216817,-1.7210770727952465
-40.61754910777977,-24.622245535153482,-1.7060819481841438
-41.04130769782036,-25.195423937272118,-1.6910869024398245
-41.464887361615965,-25.76871329505432,-1.6760919370419245
-41.888377595030164,-26.342113613541926,-1.6600970501637367
-42.31159940679223,-26.915735863166585,-1.6441022426036014
-42.73473178209809,-27.489358092677115,-1.628107513703025
-43.157595732791755,-28.06320225503395,-1.612112864942926
-43.58028076090096,-28.637157377273873,-1.5951182942477953
-44.00287635368617,-29.211223456179525,-1.5781238041115415
-44.42520353030761,-29.785400496439518,-1.5601293916207855
-44.84735177793156,-30.359688494332847,-1.5421350576041313
-45.269321093730724,-30.934198422561273,-1.5241408039858921
-45.691111488623434,-31.508819313256346,-1.5051466304209917
-46.1126334623156,-32.083551160388545,-1.486152534597899
-46.53406599625324,-32.65839396581612,-1.4671585171383068
-46.95523011677963,-33.233347732497776,-1.4471645805843014
-47.37621531013846,-33.80852343076382,-1.4271707204019624
-47.797021570144324,-34.3838100884215,-1.4071769433563581
-48.217648910733324,-34.95920770750479,-1.3861832430789782
-48.63800782578546,-35.53471628515849,-1.3651896200133464
-49.05818781285898,-36.11044679298162,-1.3441960783505351
-49.47809938605024,-36.68628826664488,-1.3222026145402914
-49.89792152254124,-37.262240697023984,-1.3002092296588827
-50.317475235702126,-37.838415060069536,-1.2782159251602359
-50.736760525400086,-38.41470038067609,-1.2562226968893881
-51.155866886892454,-38.99109666145155,-1.2342295483643895
-51.5747943162197,-39.56760389831784,-1.2122364796102332
-51.99345334069956,-40.14433308163015,-1.1882434888565818
-52.41193346205799,-40.72117324214798,-1.1612505783879996
-52.83014519980702,-41.2982353685575,-1.1292577471200396
-53.24817801962879,-41.87540846170797,-1.0962649940536089
-53.665942374984866,-42.45269248236528,-1.0682723203752502
-54.083527766623,-43.0301984098123,-1.0442797241089217
-54.50084470978912,-43.60781527566895,-1.0232872087238505
-54.9179827312204,-44.18565407929498,-1.0012947702500234
-55.33485233135693,-44.763603842967456,-0.9793024109057775
-55.751453505203266,-45.34177553952001,-0.9573101316565129
-56.167875750107726,-45.91994721998161,-0.9353179303345414
-56.58402957272009,-46.498451808264164,-0.9133258087966958
-57.00000447374743,-47.07706736184326,-0.8903337658436925
-57.41562145614875,-47.655793874992,-0.867341800318826
-57.83105952105734,-48.23474232888178,-0.8433499147332597
-58.246229168331695,-48.81380174928098,-0.8183581076611475
-58.66121988804253,-49.393083103735805,-0.7933663791003518
-59.07594219060928,-49.97247542609756,-0.767374731076643
-59.49030656936341,-50.55208967521068,-0.7423831586262146
-59.90458152139389,-51.131814890212674,-0.7163916670877057
-60.31849855574216,-51.71176204093081,-0.6904002518235863
-60.7323261545589,-52.291820148801946,-0.6644089203681958
-61.14588534143664,-52.872100200334096,-0.6374176633559685
-61.55926559699678,-53.45238023751617,-0.6104264873946335
-61.97246692636967,-54.032882207955936,-0.5834353910195595
-62.385489166987384,-54.61360597531964,-0.5724443729762498
-62.798332636989,-55.19432986444136,-0.5454534344173254
-63.21108666851815,-55.775164712800304,-0.5184625752968515
-63.62366178295052,-56.35622150354199,-0.49047179702909816
-64.03614746292557,-56.93727828050959,-0.4624810951300198
-64.44854370959494,-57.51855698984902,-0.43449047557311005
-64.86085052931368,-58.09983569395507,-0.4054999344384811
-65.27306790540982,-58.6812253488852,-0.3775094744231211
-65.68519586719233,-59.262836956226096,-0.3475190945292361
-66.09732387864686,-59.84433756457736,-0.3185287947221518
-66.50936226850463,-60.42605993597513,-0.30753857379729865
-66.9214009143758,-61.00778247179773,-0.27754843430623666
-67.3333501266201,-61.589615966496794,-0.24755837161461614
-67.7453888934707,-62.17156042117628,-0.2175683928290475
-68.15733823395499,-62.753504870280125,-0.1865784944893747
-69.1885218765228,-63.82523399936697,-0.12560025105242545
-69.86041281592362,-64.62156537930522,-0.09361560919775158
-70.9448035093335,-65.87181089546803,-0.05064039400744491
-72.13141095601604,-67.35950537619739,0.11133072729085569
-73.11634115221446,-68.5503598831217,0.14430679821014536
-73.91647043633073,-69.47211133727961,0.15728758422773836
-75.03791289777614,-70.70589703336213,0.19126090478662405
-76.23291617883183,-72.11418406056652,0.3622309347814223
-77.11162173002208,-73.41646221683122,0.4482054794504009
-78.01325224693369,-74.67905985619991,0.4831798251127424
-78.39839225444348,-75.24499580105626,0.5181684371992148
-78.79906662705118,-75.85888820036988,0.5541562112230309
-79.34781478695095,-76.7181814182797,0.5901391055740817
-79.71698040244257,-77.39211700124122,0.6811263408770714
-80.17636093965477,-78.13055411198376,0.7181115588708948
-80.68485833622523,-79.03297914008084,0.754094002236144
-81.1403873151055,-79.76505746067787,0.8280790885770415
-81.52117148365731,-80.50174487814904,0.8660649545381673
-82.14140512477178,-81.5668779261305,0.926043431669008
-82.70131685124676,-82.54033983300484,0.9650236422715253
-84.33673841580007,-85.15211350611585,1.119967812812483
-85.14663760125474,-86.45754755578608,1.1979394480024226
-85.54008041891562,-87.0714058052912,1.2389258131780423
-85.950018471636,-87.84057854163436,1.2629097294780607
-86.76486861599314,-89.29990570830601,1.385878382648194
-87.170287435863,-90.07485244268132,1.4268619316332902
-87.86938019317093,-91.26297692753371,1.4688354075147245
-88.59639222135749,-92.56045659230298,1.5108066066520038
-89.18688714427968,-93.74034330658839,1.8807811021180214
-89.91528000699935,-95.08707322866138,1.9247508901028425
-90.52337773524054,-96.4358857394316,1.969721984662094
-91.1578460074845,-97.82143480891628,2.0146917948620526
-91.82048082854973,-99.35745472125132,2.0606584842416424
-93.27677297359196,-102.56048338930015,2.3405865204391816
-93.91083481366667,-103.858324260205,2.3885561620405866
-94.26891317762083,-104.79680275679274,2.4345354855726455
-94.6356180443498,-105.78993716214833,2.4955136169372025
-94.94054197856659,-106.79331653175115,2.5314923178909936
-95.23172758362242,-107.54583562659786,2.569475298767756
-95.50300396683105,-108.40972907410628,2.6124565763131073
-95.70387121885996,-109.00865451048205,2.6574433281035823
-95.95621469129436,-109.76927072203824,2.7024264583310043
-96.19999236768834,-110.48333842046412,2.748410421526522
-96.45938159148263,-111.24036532116897,2.793393311383589
-96.68244195767961,-111.89504382519962,2.839378448148281
-96.91970659055566,-112.58544097458815,2.886362664077936
-97.19337106313058,-113.26706800421458,2.9083464003264794
-97.47931679944953,-113.92070245072188,2.955330362973015
