Easting,Northing,Up
-25.90096393329486,14.15452769557372,-231.93497338460622
-26.32606540636587,13.563934218146315,-231.93497383593171
-26.75113493473593,12.973317764318864,-231.93497437015532
-27.176175470803372,12.382680331916632,-231.9349749864251
-27.601189970491845,11.792023925678151,-231.93497568695238
-28.02618138659561,11.201350544404363,-231.93497646985588
-28.451152671192162,10.610662193042046,-231.93497733606497
-28.87610677460586,10.019960870650479,-231.93497828404634
-29.301046650007805,9.429248576633313,-231.934979316637
-29.72597525807305,8.838527315097949,-231.93498043285422
-30.15089553787005,8.247799087208648,-231.93498163009426
-30.575810450073867,7.657065891838229,-231.9349829112602
-31.00072295002378,7.066329733756874,-231.93498427626213
-31.425635983990425,6.475592613240394,-231.9349857244245
-31.850552507709047,5.884856534165124,-231.93498725601577
-32.27547547516177,5.29412349227637,-231.93498887050714
-32.70040783625791,4.70339549164126,-231.93499056842413
-33.12535254565815,4.112674534200167,-231.93499234820845
-33.55031255741972,3.521962622299995,-231.93499421119333
-33.97529081918953,2.931261754771114,-231.9349961594434
-34.40029028849416,2.340573934644965,-231.93499818974524
-34.82531391850471,1.749901164316455,-231.9350003027154
-35.25036465766001,1.1592454423238507,-231.93500250002506
-35.675445462392986,0.568608772754871,-231.9350047798838
-36.100559285968934,-0.022006844368689826,-231.93500714596124
-36.525709073885764,-0.6125994081060355,-231.93500959222752
-36.95089778957102,-1.2031669168668486,-231.93501212290295
-37.37612837691969,-1.79370736650759,-231.9350147362721
-37.80140379394848,-2.384218758759488,-231.93501743364322
-38.22672698919043,-2.9746990914749887,-231.93502021529963
-38.65210092056804,-3.56514636326429,-231.93502307894136
-39.07752853887673,-4.155558571229946,-231.9350260266432
-39.50301279346055,-4.745933718004537,-231.93502905615532
-39.92855663963966,-5.336269798442871,-231.9350321725806
-40.354163033074194,-5.9265648104094595,-231.9350353707173
-40.77983492022323,-6.516816755383601,-231.93503865377548
-41.20557525882087,-7.107023632463793,-231.93504201723485
-41.6313869996434,-7.697183435760309,-231.93504546642004
-42.057273094994926,-8.287294168065998,-231.93504899964648
-42.48323650151593,-8.8773538289187,-231.93505261492703
-42.90928016070653,-9.467360411053932,-231.9350563155321
-43.335407040878174,-10.057311919626969,-231.93506009737587
-43.76162008441706,-10.647206349290812,-231.93506396583297
-44.18792224777529,-11.237041700071643,-231.93506791669597
-44.614316482049965,-11.826815969088429,-231.9350719504551
-45.04080574209022,-12.416527156155823,-231.93507606943786
-45.46739297861639,-13.006173260865111,-231.9350802708039
-45.894081142819815,-13.595752280090977,-231.93508455615375
-46.32087319192532,-14.185262213028992,-231.93508892552384
-46.74777207614395,-14.774701057871809,-231.9350933795206
-47.17478074757229,-15.36406681416048,-231.93509791693376
-47.60190215672313,-15.953357480851821,-231.9351025373402
-48.02913926229176,-16.542571054603684,-231.93510724185137
-48.45649501616722,-17.131705534322705,-231.93511203167418
-48.8839723677878,-17.72075892127559,-231.9351169048363
