x,y
-101.91926280870416,-457.5249075000745
-102.13682003417021,-456.5586189305311
-102.35172101500511,-455.59136343627176
-102.5639556668154,-454.6231562836666
-102.77351390520768,-453.65401273908594
-102.98038564578847,-452.6839480688998
-103.1845608041644,-451.71297753947835
-103.38602929594204,-450.7411164171919
-103.5847810367279,-449.76837996841056
-103.78080594212864,-448.7947834595045
-103.97409392775076,-447.82034215684394
-104.16463490920088,-446.845071326799
-104.35241880208554,-445.8689862357399
-104.53743552201135,-444.89210215003675
-104.71967498458484,-443.9144343360598
-104.89912710541262,-442.9359980601793
-105.07578180010123,-441.9568085887652
-105.24962898425726,-440.9768811881879
-105.4206585734873,-439.9962311248175
-105.5888604833979,-439.01487366502414
-105.75422462959563,-438.032824075178
-105.91674092768707,-437.05009762164934
-106.0763992932788,-436.06670957080826
-106.23318964197738,-435.082675189025
-106.3871018893894,-434.09800974266966
-106.5381259511214,-433.1127284981125
-106.68625174278,-432.12684672172367
-106.83146917997175,-431.1403796798733
-106.9737681783032,-430.15334263893163
-107.11313865338094,-429.16575086526876
-107.24957052081156,-428.177619625255
-107.38305369620161,-427.1889641852604
-107.51357809515768,-426.1997998116552
-107.64113363328634,-425.21014177080957
-107.76571022619414,-424.2200053290937
-107.88729778948768,-423.22940575287777
-108.00588623877351,-422.2383583085319
-108.12146548965823,-421.24687826242626
-108.2340254577484,-420.2549808809312
-108.34355605865059,-419.2626814304167
-108.45004720797137,-418.26999517725307
-108.55348882131732,-417.27693738781034
-108.653870814295,-416.2835233284589
-108.751183102511,-415.28976826556874
-108.84541560157189,-414.2956874655101
-108.93655822708422,-413.30129619465316
-109.0246008946546,-412.3066097193681
-109.10953351988957,-411.31164330602513
-109.19134601839573,-410.3164122209944
-109.27002830577963,-409.3209317306461
-109.34557029764785,-408.3252171013504
-109.41796190960697,-407.32928359947744
-109.48719305726355,-406.3331464913975
-109.55325365622419,-405.3368210434806
-109.61613362209542,-404.34032252209704
-109.67582287048386,-403.343666193617
-109.73231131699603,-402.3468673244106
-109.78558887723857,-401.349941180848
-109.83564546681798,-400.3529030292995
-109.88247100134089,-399.35576813613517
-109.92605539641383,-398.35855176772526
-109.9663885676434,-397.3612691904398
-110.00346043063617,-396.3639356706492
-110.03726090099869,-395.36656647472347
-110.06777989433756,-394.36917686903274
-110.09500732625936,-393.3717821199474
-110.11893311237066,-392.3743974938374
-110.13954716827797,-391.3770382570732
-110.15683940958795,-390.37971967602465
-110.17079975190713,-389.3824570170621
-110.18141811084207,-388.3852655465558
-110.18868440199938,-387.3881605308757
-110.19258854098561,-386.39115723639225
-110.19312044340734,-385.39427092947545
-110.19027002487113,-384.3975168764955
-110.18402720098358,-383.4009103438226
-110.17438188735122,-382.40446659782697
-110.16132399958065,-381.40820090487875
-110.14484345327845,-380.41212853134806
-110.1249301640512,-379.4162647436052
-110.10157404750542,-378.42062480802025
-110.07476501924775,-377.42522399096345
-110.0444929948847,-376.4300775588049
-110.01074789002293,-375.4352007779148
-109.97351962026889,-374.44060891466347
-109.93279810122927,-373.44631723542085
-109.88857324851057,-372.45234100655733
-109.8408349777194,-371.45869549444296
-109.7895732044623,-370.46539596544795
-109.73477784434587,-369.4724576859425
-109.67643881297667,-368.4798959222968
-109.61454602596129,-367.487725940881
-109.54908939890629,-366.49596300806525
