x,y,z
-20.238202,9.092034,-2.005568
-20.837994,8.290660,-2.003332
-21.437616,7.489147,-2.001103
-22.037065,6.687496,-1.998860
-22.636341,5.885705,-1.996583
-23.235443,5.083774,-1.994254
-23.834369,4.281704,-1.991852
-24.433117,3.479494,-1.989357
-25.031687,2.677143,-1.986750
-25.630077,1.874651,-1.984011
-26.228284,1.072018,-1.981121
-26.826308,0.269243,-1.978059
-27.424146,-0.533674,-1.974807
-28.021797,-1.336735,-1.971343
-28.619257,-2.139940,-1.967649
-29.216526,-2.943290,-1.963705
-29.813601,-3.746787,-1.959491
-30.410478,-4.550430,-1.954987
-31.007156,-5.354223,-1.950174
-31.603631,-6.158165,-1.945032
-32.199899,-6.962260,-1.939541
-32.795958,-7.766508,-1.933681
-33.391803,-8.570912,-1.927434
-33.987430,-9.375474,-1.920778
-34.582835,-10.180197,-1.913694
-35.178013,-10.985083,-1.906163
-35.772959,-11.790135,-1.898165
-36.367667,-12.595357,-1.889681
-36.962132,-13.400751,-1.880689
-37.556347,-14.206323,-1.871172
-38.150306,-15.012075,-1.861108
-38.744001,-15.818013,-1.850479
-39.337424,-16.624141,-1.839264
-39.930568,-17.430465,-1.827444
-40.523423,-18.236990,-1.814999
-41.115980,-19.043722,-1.801909
-41.708229,-19.850668,-1.788155
-42.300159,-20.657834,-1.773718
-42.891759,-21.465229,-1.758576
-43.483017,-22.272859,-1.742711
-44.073920,-23.080734,-1.726103
-44.664456,-23.888861,-1.708731
-45.254608,-24.697252,-1.690578
-45.844363,-25.505916,-1.671621
-46.433705,-26.314863,-1.651843
-47.022616,-27.124104,-1.631223
-47.611080,-27.933653,-1.609741
-48.199078,-28.743520,-1.587378
-48.786591,-29.553719,-1.564115
-49.373598,-30.364265,-1.539930
-49.960079,-31.175170,-1.514805
-50.546012,-31.986451,-1.488720
-51.131374,-32.798122,-1.461655
-51.716141,-33.610200,-1.433591
-52.300290,-34.422701,-1.404507
-52.883796,-35.235644,-1.374385
-53.466632,-36.049044,-1.343203
-54.048773,-36.862923,-1.310943
-54.630184,-37.677290,-1.277588
-55.210811,-38.492141,-1.243181
-55.790615,-39.307488,-1.207837
-56.369571,-40.123356,-1.171672
-56.947650,-40.939766,-1.134806
-57.524826,-41.756740,-1.097354
-58.101069,-42.574301,-1.059434
-58.676351,-43.392472,-1.021163
-59.250644,-44.211275,-0.982659
-59.823917,-45.030733,-0.944040
-60.396142,-45.850867,-0.905421
-60.967290,-46.671700,-0.866922
-61.537331,-47.493254,-0.828658
-62.106236,-48.315550,-0.790748
-62.673976,-49.138610,-0.753309
-63.240506,-49.962438,-0.716405
-63.805778,-50.787033,-0.679925
-64.369755,-51.612405,-0.643723
-64.932404,-52.438562,-0.607654
-65.493689,-53.265512,-0.571569
-66.053577,-54.093262,-0.535324
-66.612034,-54.921820,-0.498772
-67.169028,-55.751190,-0.461767
-67.724525,-56.581377,-0.424161
-68.278496,-57.412387,-0.385810
-68.830909,-58.244223,-0.346566
-69.381734,-59.076887,-0.306284
-69.930942,-59.910383,-0.264816
-70.478500,-60.744705,-0.222017
-71.024361,-61.579838,-0.177753
-71.568496,-62.415786,-0.132000
-72.110891,-63.252568,-0.084781
-72.651530,-64.090197,-0.036121
-73.190396,-64.928690,0.013954
-73.727475,-65.768061,0.065421
-74.262750,-66.608326,0.118253
-74.796206,-67.449500,0.172426
-75.327825,-68.291598,0.227916
-75.857590,-69.134637,0.284697
-76.385483,-69.978634,0.342744
-76.911487,-70.823609,0.402033
-77.435571,-71.669569,0.462538
-77.957750,-72.516580,0.524235
-78.477765,-73.364376,0.587075
-78.995086,-74.212385,0.650843
-79.509498,-75.060392,0.715250
-80.020957,-75.908366,0.780009
-80.529382,-76.756242,0.844829
-81.034707,-77.603971,0.909424
-81.536867,-78.451513,0.973504
-82.035808,-79.298838,1.036780
-82.531480,-80.145928,1.098965
-83.023848,-80.992781,1.159769
-83.512882,-81.839405,1.218904
-83.998579,-82.685844,1.276082
-84.480896,-83.532085,1.331013
-84.960022,-84.378453,1.383410
-85.436855,-85.226218,1.433254
-85.912021,-86.076152,1.481603
-86.385464,-86.928236,1.529783
-86.857226,-87.782553,1.579119
-87.327316,-88.639136,1.630934
-87.795744,-89.498016,1.686556
-88.262514,-90.359205,1.747308
-88.727627,-91.222705,1.813913
-89.191077,-92.088505,1.885121
-89.652858,-92.956583,1.959277
-90.112959,-93.826905,2.034769
-90.571366,-94.699431,2.110300
-91.028061,-95.574105,2.184701
-91.483037,-96.450885,2.256840
-91.936344,-97.329812,2.326259
-92.388035,-98.210909,2.393166
-92.838107,-99.094133,2.457794
-93.286560,-99.979441,2.520377
-93.733393,-100.866783,2.581146
-94.178605,-101.756106,2.640337
-94.622194,-102.647354,2.698183
-95.064160,-103.540465,2.754930
-95.504505,-104.435379,2.810936
-95.943231,-105.332035,2.866608
-96.380343,-106.230373,2.922356
-96.815845,-107.130324,2.978589
-97.249767,-108.031872,3.035715
-97.682006,-108.934749,3.094082
-98.112238,-109.838480,3.153707
-98.540346,-110.742919,3.214496
-98.966396,-111.648093,3.276354
-99.390416,-112.553989,3.339187
-99.812445,-113.460603,3.402900
-100.232521,-114.367926,3.467399
-100.650686,-115.275949,3.532589
-101.066983,-116.184661,3.598377
-101.481456,-117.094048,3.664666
-101.894152,-118.004097,3.731364
-102.305118,-118.914793,3.798375
-102.714405,-119.826117,3.865605
-103.122065,-120.738052,3.932960
-103.528150,-121.650578,4.000344
-103.932715,-122.563674,4.067678
-104.335817,-123.477319,4.134932
-104.737512,-124.391489,4.202089
-105.137860,-125.306161,4.269133
-105.536918,-126.221311,4.336048
-105.934748,-127.136914,4.402817
-106.331410,-128.052945,4.469423
-106.726965,-128.969378,4.535850
-107.121474,-129.886187,4.602082
-107.514998,-130.803347,4.668102
-107.907598,-131.720832,4.733893
-108.299335,-132.638617,4.799440
-108.690268,-133.556675,4.864725
-109.080459,-134.474987,4.929732
-109.470010,-135.393593,4.994444
-109.859024,-136.312526,5.058842
-110.247556,-137.231757,5.122905
-110.635662,-138.151265,5.186614
-111.023396,-139.071026,5.249949
-111.410811,-139.991018,5.312888
-111.797958,-140.911219,5.375413
-112.184887,-141.831609,5.437503
-112.571647,-142.752167,5.499138
-112.958285,-143.672873,5.560298
-113.344846,-144.593709,5.620963
-113.731375,-145.514655,5.681113
-114.117915,-146.435695,5.740728
-114.504506,-147.356810,5.799787
-114.891190,-148.277984,5.858271
-115.278005,-149.199201,5.916160
-115.664987,-150.120445,5.973433
-116.052173,-151.041701,6.030071
-116.439596,-151.962955,6.086052
-116.827290,-152.884193,6.141359
-117.215286,-153.805401,6.195969
-117.603615,-154.726567,6.249863
-117.992305,-155.647678,6.303022
-118.381384,-156.568722,6.355424
-118.770878,-157.489688,6.407050
-119.160812,-158.410565,6.457881
-119.551208,-159.331343,6.507894
-119.942090,-160.252011,6.557072
-120.333478,-161.172560,6.605393
-120.725390,-162.092983,6.652838
-121.117846,-163.013269,6.699386
-121.510861,-163.933411,6.745017
-121.904451,-164.853403,6.789712
-122.298628,-165.773238,6.833449
-122.693406,-166.692909,6.876210
-123.088794,-167.612411,6.917974
-123.484802,-168.531739,6.958721
-123.881436,-169.450890,6.998431
-124.278702,-170.369859,7.037084
-124.676604,-171.288644,7.074659
-125.075144,-172.207243,7.111137
-125.474321,-173.125655,7.146498
-125.874135,-174.043880,7.180721
-126.274579,-174.961918,7.213787
-126.675650,-175.879771,7.245675
-127.077337,-176.797442,7.276365
-127.479630,-177.714935,7.305838
-127.882515,-178.632253,7.334072
-128.285977,-179.549404,7.361049
-128.689997,-180.466395,7.386748
-129.094554,-181.383234,7.411148
-129.499623,-182.299931,7.434231
-129.905176,-183.216499,7.455975
-130.311185,-184.132951,7.476360
-130.717612,-185.049299,7.495368
-131.124427,-185.965568,7.512977
-131.531563,-186.881734,7.529168
-131.938907,-187.797728,7.543942
-132.346385,-188.713543,7.557324
-132.753951,-189.629209,7.569341
-133.161548,-190.544750,7.580018
-133.569117,-191.460193,7.589383
-133.976595,-192.375566,7.597460
-134.383915,-193.290899,7.604277
-134.791006,-194.206224,7.609860
-135.197792,-195.121574,7.614235
-135.604196,-196.036982,7.617428
-136.010135,-196.952486,7.619466
-136.415525,-197.868121,7.620375
-136.820275,-198.783927,7.620181
-137.224296,-199.699942,7.618910
-137.627493,-200.616207,7.616589
-138.029769,-201.532761,7.613244
-138.431027,-202.449648,7.608902
-138.831166,-203.366907,7.603588
-139.230085,-204.284581,7.597329
-139.627683,-205.202712,7.590151
-140.023857,-206.121342,7.582080
-140.418506,-207.040509,7.573143
-140.811525,-207.960256,7.563367
-141.202816,-208.880622,7.552776
-141.592277,-209.801643,7.541398
-141.979809,-210.723358,7.529259
-142.365316,-211.645804,7.516385
-142.748698,-212.569004,7.502803
-143.129793,-213.492885,7.488535
-143.508444,-214.417385,7.473591
-143.884558,-215.342522,7.457981
-144.258040,-216.268305,7.441711
-144.628798,-217.194742,7.424789
-144.996744,-218.121837,7.407224
-145.361791,-219.049595,7.389023
-145.723857,-219.978017,7.370194
-146.082863,-220.907103,7.350746
-146.438732,-221.836851,7.330685
-146.791390,-222.767259,7.310019
-147.140768,-223.698321,7.288758
-147.486799,-224.630033,7.266907
