x,y,z
-26.339202163864712,-41.668966133596996,231.9349399837556
-26.938994294010485,-42.47034006945745,231.93494086201522
-27.53861573306031,-43.27185277972109,231.93494189676633
-28.13806521417709,-44.07350448683218,231.9349430882865
-28.737341465335646,-44.875295421051476,231.9349444354655
-29.33644316959422,-45.677225844380075,231.93494594016136
-29.935368977940357,-46.479296040477095,231.9349476013487
-30.534117478543436,-47.28150633239346,231.9349494192203
-31.13268719915405,-48.08385709363995,231.934951394416
-31.73107659571292,-48.886348744097745,231.9349535257408
-32.329284022751665,-49.68898177722713,231.93495581336444
-32.927307742435374,-50.49175674914778,231.9349582584201
-33.52514589750626,-51.29467430588028,231.93496085996725
-34.12279650494722,-52.09773518168748,231.93496361800592
-34.72025743675795,-52.90094021065062,231.9349665334766
-35.31752641087144,-53.70429034074186,231.93496960496856
-35.9146009707097,-54.50778664144269,231.934972833615
-36.51147847738213,-55.31143031704505,231.93497621800515
-37.10815608797992,-56.11522271346519,231.9349797601049
-37.70463073881331,-56.91916533615807,231.93498345767077
-38.300899127479624,-57.72325986013408,231.93498731275358
-38.89695770262068,-58.52750813534465,231.9349913239655
-39.4928026419517,-59.33191221398931,231.93499549186163
-40.08842982298944,-60.136474352502034,231.93499981671957
-40.68383481512734,-60.94119703431022,231.9350042972364
-41.279012859232324,-61.746082974300805,231.93500893601794
-41.87395883549269,-62.55113514678385,231.93501373018077
-42.46866725193482,-63.35635678849712,231.93501867916984
-43.06313221093859,-64.16175143128334,231.93502378697877
-43.657347400367854,-64.96732289960966,231.9350290503617
-44.251306049894936,-65.77307534468923,231.93503447015135
-44.84500091942482,-66.57901325457999,231.9350400459853
-45.43842426826578,-67.38514147822372,231.93504577858835
-46.03156782446317,-68.19146523687397,231.9350516672357
-46.62442276538124,-68.99799015064815,231.93505771201225
-47.21697968570439,-69.80472225466883,231.93506391330334
-47.80922856531572,-70.61166802466221,231.9350702712787
-48.40115874882207,-71.41883438694185,231.935076784273
-48.992758913371375,-72.22622874873736,231.93508345350438
-49.58401704300027,-73.033859015205,231.9350902781171
-50.174920403094404,-73.84173359776952,231.93509726046247
-50.76545550811355,-74.64986145154586,231.93510439624632
-51.35560810505365,-75.45825207591383,231.9351116900404
-51.94536315017359,-76.2669155441734,231.93511913857594
-52.53470478733118,-77.07586250720601,231.93512674326365
-53.12361632743645,-77.88510420897478,231.93513450307825
-53.712080238045814,-78.69465250452242,231.93514241912987
-54.30007813964011,-79.50451985282757,231.93515048864307
-54.887590781130825,-80.31471934250277,231.93515871494844
-55.47459805667461,-81.12526466993864,231.9351670965964
-56.061078992652625,-81.93617016278597,231.93517563309365
-56.64701176578669,-82.74745075575095,231.93518432435542
-57.23237371588351,-83.5591219883961,231.9351931715997
-57.817141362372894,-84.37120000456594,231.93520217305343
-58.401290393846466,-85.18370147656861,231.9352113285468
-58.98479588277368,-85.99664381529959,231.9352206387199
-59.56763159372932,-86.81004429013211,231.9352301029327
-60.149772764288485,-87.62392317112017,231.93523972379103
-60.73118391716869,-88.43828988264369,231.93524949730136
-61.31181124372239,-89.25314072718453,231.93525942335583
-61.891615024951875,-90.06848814714272,231.9352695048608
-62.47057077258248,-90.88435588412432,231.93527973957288
-63.048650313548904,-91.70076569889045,231.93529012610432
-63.62582587730569,-92.5177400827136,231.93530066520293
-64.20206908125394,-93.33530146137883,231.9353113578941
