x,y,z
170.510979,58.738925,5.786000
170.023309,59.626933,5.786000
169.541429,60.519791,5.786000
169.059567,61.412660,5.786000
168.577720,62.305539,5.786000
168.095883,63.198424,5.786000
167.614056,64.091312,5.786000
167.132233,64.984202,5.786000
166.650412,65.877093,5.786000
166.168588,66.769985,5.786000
165.686759,67.662873,5.786000
165.204922,68.555755,5.786000
164.723072,69.448631,5.786000
164.241206,70.341500,5.786000
163.759322,71.234359,5.786000
163.277416,72.127204,5.786000
162.795484,73.020036,5.786000
162.313522,73.912853,5.786000
161.831528,74.805653,5.786000
161.349498,75.698433,5.786000
160.867430,76.591192,5.786000
160.385318,77.483929,5.786000
159.903160,78.376641,5.786000
159.420953,79.269327,5.786000
158.938693,80.161984,5.786000
158.456377,81.054611,5.786000
157.974002,81.947206,5.786000
157.491563,82.839768,5.786000
157.009058,83.732295,5.786000
156.526483,84.624783,5.786000
156.043836,85.517233,5.786000
155.561111,86.409642,5.786000
155.078307,87.302008,5.786000
154.595419,88.194330,5.786000
154.112445,89.086606,5.786000
153.629381,89.978832,5.786000
153.146223,90.871009,5.786000
152.662969,91.763135,5.786000
152.179614,92.655206,5.786000
151.696156,93.547222,5.786000
151.212591,94.439180,5.786000
150.728915,95.331080,5.786000
150.245126,96.222919,5.786000
149.761220,97.114695,5.786000
149.277193,98.006406,5.786000
148.793042,98.898050,5.786000
148.308764,99.789627,5.786000
147.824356,100.681133,5.786000
147.339814,101.572567,5.786000
146.855134,102.463927,5.786000
146.370313,103.355212,5.786000
145.885349,104.246420,5.786000
145.400237,105.137548,5.786000
144.914975,106.028594,5.786000
144.429557,106.919558,5.786000
143.943982,107.810437,5.786000
143.458247,108.701229,5.786000
142.972348,109.591932,5.786000
142.486280,110.482545,5.786000
142.000041,111.373066,5.786000
141.513628,112.263493,5.786000
141.027038,113.153823,5.786000
140.540267,114.044055,5.786000
140.053310,114.934189,5.786000
139.566166,115.824221,5.786000
139.078831,116.714148,5.786000
138.591301,117.603970,5.786000
138.103573,118.493686,5.786000
137.615644,119.383293,5.786000
137.127511,120.272788,5.786000
136.639170,121.162170,5.786000
136.150617,122.051438,5.786000
135.661849,122.940589,5.786000
135.172864,123.829622,5.786000
134.683657,124.718534,5.786000
134.194226,125.607324,5.786000
133.704566,126.495990,5.785872
133.214675,127.384530,5.785490
132.724549,128.272942,5.784852
132.234186,129.161224,5.783960
131.743581,130.049374,5.782812
131.252731,130.937390,5.781410
130.761633,131.825271,5.779752
130.270284,132.713015,5.777839
129.778679,133.600619,5.775672
129.286818,134.488081,5.773249
128.794694,135.375401,5.770571
128.302306,136.262576,5.767638
127.809649,137.149604,5.764451
127.315787,138.035931,5.761008
126.817267,138.921927,5.757310
126.312665,139.805480,5.753357
125.800415,140.685068,5.749149
125.279379,141.558632,5.744686
124.748683,142.423820,5.739968
124.205125,143.281995,5.734995
123.647476,144.131085,5.729767
123.074474,144.968930,5.724284
122.483817,145.794602,5.718546
121.873608,146.606148,5.712553
121.242362,147.400660,5.706305
120.588376,148.175128,5.699802
119.908445,148.927697,5.693044
119.199804,149.655130,5.686031
118.461679,150.351538,5.678763
117.692091,151.011819,5.671240
116.889131,151.630218,5.663461
116.050849,152.200425,5.655428
115.175132,152.715628,5.647140
114.264932,153.166097,5.638597
113.322348,153.543697,5.629798
112.351094,153.840887,5.620745
111.356449,154.051506,5.611437
110.340992,154.172028,5.601873
109.321044,154.215179,5.592055
108.322150,154.189945,5.581981
107.307316,154.093901,5.571653
106.313489,153.929114,5.561070
105.326113,153.694181,5.550231
104.358494,153.393295,5.539138
103.413202,153.030174,5.527789
102.487974,152.607077,5.516185
101.594166,152.133491,5.504327
100.720705,151.608025,5.492213
99.881028,151.043620,5.479845
99.062369,150.436732,5.467221
98.274342,149.799271,5.454470
97.508910,149.129745,5.441719
96.767460,148.433754,5.428968
