x,y,z
-21.256250,10.768650,0.000000
-21.525260,10.406832,0.000000
-21.794270,10.045014,0.000000
-22.063280,9.683196,0.000000
-22.332290,9.321378,0.000000
-22.601054,8.959355,0.000000
-22.869306,8.596952,0.000000
-23.137044,8.234170,0.000000
-23.404269,7.871009,0.000000
-23.670979,7.507469,0.000000
-23.937174,7.143553,0.000000
-24.202854,6.779260,0.000000
-24.468017,6.414591,0.000000
-24.628937,6.192955,0.000000
-24.789857,5.971318,0.000000
-25.035929,5.632699,0.000000
-25.282285,5.294286,0.000000
-25.528924,4.956080,0.000000
-25.775846,4.618080,0.000000
-26.023050,4.280287,0.000000
-26.270538,3.942701,0.000000
-26.537675,3.578631,0.000000
-26.804812,3.214561,0.000000
-27.071949,2.850491,0.000000
-27.339086,2.486422,0.000000
-27.606224,2.122352,0.000000
-27.716848,1.971527,0.000000
-28.005033,1.578464,0.000000
-28.293219,1.185401,0.000000
-28.581404,0.792337,0.000000
-28.869589,0.399274,0.000000
-29.157775,0.006210,0.000000
-29.445960,-0.386853,0.000000
-29.734145,-0.779917,0.000000
-29.854621,-0.944308,0.000000
-30.143589,-1.338775,0.000000
-30.432557,-1.733243,0.000000
-30.721524,-2.127711,0.000000
-31.010492,-2.522178,0.000000
-31.299460,-2.916646,0.000000
-31.588427,-3.311114,0.000000
-31.877395,-3.705581,0.000000
-31.974683,-3.838435,0.000000
-32.265580,-4.235810,0.000000
-32.556477,-4.633186,0.000000
-32.847373,-5.030561,0.000000
-33.138270,-5.427937,0.000000
-33.429167,-5.825312,0.000000
-33.720064,-6.222688,0.000000
-34.010960,-6.620063,0.000000
-34.102720,-6.745451,0.000000
-34.393660,-7.143145,0.000000
-34.684600,-7.540839,0.000000
-34.975541,-7.938533,0.000000
-35.266481,-8.336227,0.000000
-35.557421,-8.733921,0.000000
-35.848361,-9.131615,0.000000
-36.139301,-9.529309,0.000000
-36.234078,-9.658906,0.000000
-36.525782,-10.057914,0.000000
-36.817487,-10.456921,0.000000
-37.109191,-10.855929,0.000000
-37.400896,-11.254936,0.000000
-37.692600,-11.653944,0.000000
-37.984305,-12.052951,0.000000
-38.276009,-12.451959,0.000000
-38.355376,-12.560552,0.000000
-38.649420,-12.962987,0.000000
-38.943464,-13.365421,0.000000
-39.237508,-13.767856,0.000000
-39.531552,-14.170291,0.000000
-39.825596,-14.572725,0.000000
-40.119639,-14.975160,0.000000
-40.413683,-15.377595,0.000000
-40.474108,-15.460311,0.000000
-40.768484,-15.863374,0.000000
-41.062860,-16.266437,0.000000
-41.357236,-16.669499,0.000000
-41.651612,-17.072562,0.000000
-41.945988,-17.475625,0.000000
-42.240364,-17.878687,0.000000
-42.534740,-18.281750,0.000000
-42.608347,-18.382559,0.000000
-42.903091,-18.786337,0.000000
-43.197835,-19.190115,0.000000
-43.492579,-19.593893,0.000000
-43.787323,-19.997671,0.000000
-44.082067,-20.401449,0.000000
-44.376811,-20.805227,0.000000
-44.671554,-21.209005,0.000000
-44.725339,-21.282700,0.000000
-44.985025,-21.638587,0.000000
-45.244711,-21.994475,0.000000
-45.504397,-22.350363,0.000000
-45.764083,-22.706250,0.000000
