x,y,z
-23.818030,11.664797,-2.005568
-24.386919,10.840397,-2.003332
-24.955759,10.015977,-2.001103
-25.524545,9.191531,-1.998860
-26.093270,8.367054,-1.996583
-26.661927,7.542542,-1.994254
-27.230510,6.717991,-1.991852
-27.799011,5.893394,-1.989357
-28.367424,5.068749,-1.986750
-28.935742,4.244048,-1.984011
-29.503957,3.419288,-1.981121
-30.072061,2.594463,-1.978059
-30.640048,1.769569,-1.974807
-31.207910,0.944599,-1.971343
-31.775638,0.119548,-1.967649
-32.343226,-0.705589,-1.963705
-32.910664,-1.530818,-1.959491
-33.477946,-2.356144,-1.954987
-34.045062,-3.181573,-1.950174
-34.612004,-4.007111,-1.945032
-35.178765,-4.832763,-1.939541
-35.745334,-5.658537,-1.933681
-36.311705,-6.484437,-1.927434
-36.877867,-7.310469,-1.920778
-37.443812,-8.136641,-1.913694
-38.009532,-8.962958,-1.906163
-38.575016,-9.789426,-1.898165
-39.140256,-10.616052,-1.889681
-39.705242,-11.442842,-1.880689
-40.269966,-12.269802,-1.871172
-40.834417,-13.096940,-1.861108
-41.398586,-13.924262,-1.850479
-41.962464,-14.751775,-1.839264
-42.526040,-15.579485,-1.827444
-43.089305,-16.407399,-1.814999
-43.652249,-17.235525,-1.801909
-44.214862,-18.063869,-1.788155
-44.777133,-18.892438,-1.773718
-45.339053,-19.721239,-1.758576
-45.900612,-20.550280,-1.742711
-46.461798,-21.379567,-1.726103
-47.022602,-22.209109,-1.708731
-47.583013,-23.038912,-1.690578
-48.143020,-23.868984,-1.671621
-48.702614,-24.699332,-1.651843
-49.261782,-25.529964,-1.631223
-49.820515,-26.360888,-1.609741
-50.378801,-27.192110,-1.587378
-50.936630,-28.023640,-1.564115
-51.493990,-28.855483,-1.539930
-52.050872,-29.687650,-1.514805
-52.607262,-30.520146,-1.488720
-53.163152,-31.352981,-1.461655
-53.718529,-32.186162,-1.433591
-54.273382,-33.019697,-1.404507
-54.827699,-33.853594,-1.374385
-55.381470,-34.687861,-1.343203
-55.934684,-35.522507,-1.310943
-56.487326,-36.357543,-1.277588
-57.039369,-37.192993,-1.243181
-57.590786,-38.028869,-1.207837
-58.141562,-38.865172,-1.171672
-58.691681,-39.701902,-1.134806
-59.241125,-40.539060,-1.097354
-59.789878,-41.376647,-1.059434
-60.337921,-42.214665,-1.021163
-60.885238,-43.053114,-0.982659
-61.431811,-43.891996,-0.944040
-61.977623,-44.731311,-0.905421
-62.522654,-45.571062,-0.866922
-63.066888,-46.411249,-0.828658
-63.610305,-47.251874,-0.790748
-64.152893,-48.092941,-0.753309
-64.694764,-48.934493,-0.716405
-65.236094,-49.776562,-0.679925
-65.776882,-50.619193,-0.643723
-66.317141,-51.462434,-0.607654
-66.856878,-52.306333,-0.571569
-67.396105,-53.150943,-0.535324
-67.934839,-53.996322,-0.498772
-68.473096,-54.842532,-0.461767
-69.010900,-55.689646,-0.424161
-69.548280,-56.537745,-0.385810
-70.085269,-57.386919,-0.346566
-70.621913,-58.237275,-0.306284
-71.158247,-59.088917,-0.264816
-71.694386,-59.942024,-0.222017
-72.229818,-60.796279,-0.177753
-72.763546,-61.651036,-0.132000
-73.295261,-62.505980,-0.084781
-73.824818,-63.360863,-0.036121
-74.352010,-64.215387,0.013954
-74.876638,-65.069245,0.065421
-75.398496,-65.922126,0.118253
-75.917389,-66.773729,0.172426
-76.433132,-67.623770,0.227916
-76.945561,-68.471994,0.284697
-77.454541,-69.318193,0.342744
-77.959960,-70.162196,0.402033
-78.461783,-71.003942,0.462538
-78.959873,-71.843278,0.524235
-79.455525,-72.681707,0.587075
-79.950653,-73.521433,0.650843
-80.445655,-74.363017,0.715250
-80.940598,-75.206648,0.780009
-81.435590,-76.052540,0.844829
-81.930689,-76.900829,0.909424
-82.425932,-77.751609,0.973504
-82.921331,-78.604934,1.036780
-83.416882,-79.460820,1.098965
-83.912565,-80.319256,1.159769
-84.408347,-81.180207,1.218904
-84.904189,-82.043619,1.276082
-85.400048,-82.909431,1.331013
-85.895876,-83.777569,1.383410
-86.389752,-84.645484,1.433254
-86.879380,-85.510813,1.481603
-87.364692,-86.373452,1.529783
-87.845631,-87.233306,1.579119
-88.322174,-88.090333,1.630934
-88.794313,-88.944513,1.686556
-89.262191,-89.796075,1.747308
-89.728058,-90.648269,1.813913
-90.194546,-91.503875,1.885121
-90.661679,-92.362991,1.959277
-91.129996,-93.226457,2.034769
-91.600206,-94.094944,2.110300
-92.072527,-94.968698,2.184701
-92.546029,-95.846053,2.256840
-93.017864,-96.723720,2.326259
-93.486675,-97.600656,2.393166
-93.952762,-98.477131,2.457794
-94.416089,-99.353180,2.520377
-94.876722,-100.228916,2.581146
-95.334771,-101.104562,2.640337
-95.790234,-101.980109,2.698183
-96.244440,-102.857817,2.754930
-96.700134,-103.739994,2.810936
-97.157667,-104.626488,2.866608
-97.616686,-105.516632,2.922356
-98.076948,-106.409759,2.978589
-98.538199,-107.305250,3.035715
-98.999407,-108.201470,3.094082
-99.458921,-109.097384,3.153707
-99.916681,-109.993049,3.214496
-100.372772,-110.888569,3.276354
-100.827239,-111.784029,3.339187
-101.280132,-112.679506,3.402900
-101.731493,-113.575069,3.467399
-102.181363,-114.470779,3.532589
-102.629776,-115.366690,3.598377
-103.076767,-116.262850,3.664666
-103.522365,-117.159301,3.731364
-103.966595,-118.056078,3.798375
-104.409480,-118.953214,3.865605
-104.851042,-119.850736,3.932960
-105.291298,-120.748668,4.000344
-105.730292,-121.647026,4.067678
-106.168088,-122.545813,4.134932
-106.604700,-123.445044,4.202089
-107.040145,-124.344734,4.269133
-107.474437,-125.244896,4.336048
-107.907589,-126.145542,4.402817
-108.339615,-127.046685,4.469423
-108.770526,-127.948336,4.535850
-109.200336,-128.850508,4.602082
-109.629057,-129.753210,4.668102
-110.056699,-130.656453,4.733893
-110.483276,-131.560248,4.799440
-110.908798,-132.464605,4.864725
-111.333277,-133.369534,4.929732
-111.756732,-134.275015,4.994444
-112.179195,-135.181008,5.058842
-112.600673,-136.087508,5.122905
-113.021172,-136.994506,5.186614
-113.440696,-137.901997,5.249949
-113.859253,-138.809975,5.312888
-114.276846,-139.718433,5.375413
-114.693483,-140.627364,5.437503
-115.109167,-141.536764,5.499138
-115.523905,-142.446625,5.560298
-115.937701,-143.356942,5.620963
-116.350561,-144.267709,5.681113
-116.762490,-145.178921,5.740728
-117.173493,-146.090571,5.799787
-117.583573,-147.002655,5.858271
-117.992737,-147.915167,5.916160
-118.400988,-148.828102,5.973433
-118.808331,-149.741455,6.030071
-119.214770,-150.655221,6.086052
-119.620308,-151.569396,6.141359
-120.024951,-152.483976,6.195969
-120.428701,-153.398956,6.249863
-120.831562,-154.314332,6.303022
-121.233536,-155.230101,6.355424
-121.634628,-156.146260,6.407050
-122.034840,-157.062805,6.457881
-122.434174,-157.979732,6.507894
-122.832633,-158.897041,6.557072
-123.230218,-159.814727,6.605393
-123.626933,-160.732790,6.652838
-124.022778,-161.651227,6.699386
-124.417755,-162.570037,6.745017
-124.811864,-163.489218,6.789712
-125.205108,-164.408771,6.833449
-125.597485,-165.328693,6.876210
-125.988998,-166.248987,6.917974
-126.379645,-167.169651,6.958721
-126.769427,-168.090686,6.998431
-127.158343,-169.012093,7.037084
-127.546393,-169.933874,7.074659
-127.933574,-170.856030,7.111137
-128.319887,-171.778564,7.146498
-128.705329,-172.701478,7.180721
-129.089898,-173.624775,7.213787
-129.473592,-174.548460,7.245675
-129.856409,-175.472535,7.276365
-130.238345,-176.397007,7.305838
-130.619398,-177.321878,7.334072
-130.999563,-178.247156,7.361049
-131.378837,-179.172846,7.386748
-131.757216,-180.098954,7.411148
-132.134695,-181.025489,7.434231
-132.511268,-181.952457,7.455975
-132.886932,-182.879867,7.476360
-133.261679,-183.807728,7.495368
-133.635504,-184.736048,7.512977
-134.008400,-185.664848,7.529168
-134.380349,-186.594177,7.543942
-134.751327,-187.524061,7.557324
-135.121324,-188.454497,7.569341
-135.490325,-189.385488,7.580018
-135.858316,-190.317037,7.589383
-136.225282,-191.249143,7.597460
-136.591206,-192.181807,7.604277
-136.956072,-193.115031,7.609860
-137.319862,-194.048812,7.614235
-137.682556,-194.983152,7.617428
-138.044136,-195.918049,7.619466
-138.404581,-196.853502,7.620375
-138.763870,-197.789511,7.620181
-139.121980,-198.726074,7.618910
-139.478888,-199.663189,7.616589
-139.834571,-200.600855,7.613244
-140.189004,-201.539069,7.608902
-140.542161,-202.477831,7.603588
-140.894016,-203.417138,7.597329
-141.244542,-204.356989,7.590151
-141.593710,-205.297381,7.582080
-141.941491,-206.238312,7.573143
-142.287857,-207.179781,7.563367
-142.632775,-208.121786,7.552776
-142.976216,-209.064325,7.541398
-143.318145,-210.007396,7.529259
-143.658532,-210.950998,7.516385
-143.997341,-211.895129,7.502803
-144.334503,-212.839750,7.488535
-144.669937,-213.784808,7.473591
-145.003594,-214.730274,7.457981
-145.335425,-215.676116,7.441711
-145.665382,-216.622305,7.424789
-145.993413,-217.568812,7.407224
-146.319470,-218.515608,7.389023
-146.643504,-219.462666,7.370194
-146.965463,-220.409959,7.350746
-147.285298,-221.357461,7.330685
-147.602960,-222.305147,7.310019
-147.918398,-223.252995,7.288758
-148.231565,-224.200983,7.266907
-148.542411,-225.149091,7.244476
-148.850888,-226.097303,7.221472
-149.156949,-227.045600,7.197903
-149.460546,-227.993971,7.173777
-149.761633,-228.942403,7.149102
-150.060167,-229.890887,7.123886
-150.356101,-230.839417,7.098135
-150.649393,-231.787989,7.071860
-150.940002,-232.736602,7.045066
-151.227886,-233.685257,7.017763
-151.513007,-234.633961,6.989957
-151.795326,-235.582722,6.961657
-152.074807,-236.531552,6.932871
-152.351416,-237.480466,6.903607
-152.625119,-238.429482,6.873872
-152.895952,-239.378763,6.843672
-153.163954,-240.328459,6.813007
-153.429091,-241.278573,6.781875
-153.691332,-242.229106,6.750273
-153.950645,-243.180061,6.718197
-154.207000,-244.131441,6.685646
-154.460369,-245.083247,6.652617
-154.710723,-246.035483,6.619108
-154.958035,-246.988152,6.585115
-155.202280,-247.941259,6.550636
-155.443434,-248.894807,6.515669
-155.681472,-249.848802,6.480211
-155.916375,-250.803248,6.444260
-156.148123,-251.758153,6.407812
-156.376695,-252.713522,6.370865
-156.602076,-253.669362,6.333417
-156.824250,-254.625683,6.295466
-157.043203,-255.582492,6.257007
-157.258922,-256.539799,6.218040
-157.471397,-257.497616,6.178561
-157.680619,-258.455953,6.138567
-157.886579,-259.414824,6.098057
-158.089273,-260.374242,6.057027
-158.288695,-261.334223,6.015476
-158.484842,-262.294782,5.973399
-158.677714,-263.255939,5.930796
-158.867310,-264.217709,5.844000
-159.053636,-265.180130,5.799851
-159.236708,-266.143254,5.755291
-159.416534,-267.107104,5.710394
-159.593118,-268.071696,5.665236
-159.766466,-269.037045,5.619891
-159.936587,-270.003171,5.574436
-160.103489,-270.970093,5.528945
-160.267183,-271.937831,5.483494
-160.427680,-272.906408,5.438157
-160.584993,-273.875848,5.393009
-160.739136,-274.846176,5.348127
-160.890123,-275.817415,5.303584
-161.037973,-276.789606,5.259457
-161.182698,-277.762735,5.215816
-161.324351,-278.737076,5.172668
-161.463133,-279.713152,5.129966
-161.599155,-280.691109,5.087660
-161.732417,-281.670883,5.045703
-161.862946,-282.652440,5.004046
-161.990756,-283.635725,4.962639
-162.115867,-284.620675,4.921435
-162.238295,-285.607217,4.880383
-162.358056,-286.595271,4.839436
-162.475167,-287.584746,4.798545
-162.589645,-288.575549,4.757661
-162.701506,-289.567575,4.716735
-162.810769,-290.560726,4.675719
-162.917449,-291.554859,4.634585
-163.021507,-292.549702,4.593344
-163.122887,-293.545109,4.552012
-163.221625,-294.541065,4.510605
-163.317743,-295.537543,4.469139
-163.411270,-296.534516,4.427630
-163.502234,-297.531958,4.386093
-163.590662,-298.529841,4.344546
-163.676587,-299.528138,4.303003
-163.760038,-300.526820,4.261480
-163.841049,-301.525861,4.219994
-163.919653,-302.525232,4.178560
-163.995885,-303.524907,4.137194
-164.069782,-304.524856,4.095912
-164.141381,-305.525054,4.054731
-164.210722,-306.525472,4.013665
-164.277843,-307.526085,3.972731
-164.342787,-308.526866,3.931945
-164.405596,-309.527790,3.891323
-164.466316,-310.528832,3.850880
-164.524990,-311.529966,3.810632
-164.581667,-312.531171,3.770596
-164.636395,-313.532421,3.730788
-164.689223,-314.533697,3.691222
-164.740203,-315.534975,3.651916
-164.789386,-316.536237,3.612885
-164.836827,-317.537462,3.574144
-164.882579,-318.538633,3.535711
-164.926701,-319.539731,3.497598
-164.969229,-320.540773,3.459800
-165.010177,-321.541805,3.422306
-165.049595,-322.542838,3.385103
-165.087544,-323.543878,3.348181
-165.124081,-324.544933,3.311526
-165.159267,-325.546007,3.275127
-165.193162,-326.547108,3.238972
-165.225825,-327.548239,3.203049
-165.257317,-328.549407,3.167346
-165.287697,-329.550616,3.131852
-165.317024,-330.551871,3.096553
-165.345357,-331.553176,3.061439
-165.372754,-332.554535,3.026497
-165.399270,-333.555952,2.991715
-165.424959,-334.557433,2.957081
-165.449876,-335.558980,2.922584
-165.474069,-336.560598,2.888212
-165.497589,-337.562290,2.853952
-165.520479,-338.564061,2.819793
-165.542784,-339.565916,2.785722
-165.564542,-340.567857,2.751728
-165.585792,-341.569890,2.717799
-165.606564,-342.572019,2.683922
-165.626890,-343.574248,2.650087
-165.646793,-344.576583,2.616280
-165.666296,-345.579028,2.582490
-165.685415,-346.581588,2.548706
-165.704163,-347.584272,2.514915
-165.722555,-348.587051,2.481111
-165.740609,-349.589877,2.447290
-165.758328,-350.592743,2.413449
-165.775707,-351.595649,2.379583
-165.792735,-352.598595,2.345689
-165.809399,-353.601579,2.311761
-165.825680,-354.604602,2.277798
-165.841557,-355.607662,2.243793
-165.857002,-356.610757,2.209745
-165.871985,-357.613886,2.175648
-165.886473,-358.617047,2.141498
-165.900427,-359.620238,2.107293
-165.913809,-360.623455,2.073027
-165.926575,-361.626698,2.038696
-165.938680,-362.629962,2.004298
-165.950078,-363.633245,1.969827
-165.960719,-364.636543,1.935280
-165.970553,-365.639852,1.900654
-165.979531,-366.643170,1.865943
-165.987602,-367.646491,1.831144
-165.994715,-368.649812,1.796254
-166.000820,-369.653129,1.761267
-166.005868,-370.656438,1.726181
-166.009810,-371.659733,1.690991
-166.012601,-372.663011,1.655693
-166.014195,-373.666266,1.620283
-166.014551,-374.669495,1.584758
-166.013628,-375.672693,1.549113
-166.011389,-376.675856,1.513344
-166.007801,-377.678979,1.477448
-166.002832,-378.682057,1.441421
-165.996453,-379.685088,1.405258
-165.988640,-380.688065,1.368956
-165.979372,-381.690986,1.332510
-165.968631,-382.693846,1.295917
-165.956400,-383.696642,1.259173
-165.942670,-384.699370,1.222273
-165.927431,-385.702027,1.185215
-165.910679,-386.704610,1.147993
-165.892410,-387.707115,1.110604
-165.872625,-388.709539,1.073044
-165.851326,-389.711881,1.035310
-165.828520,-390.714136,0.997396
-165.804214,-391.716303,0.959299
-165.778415,-392.718380,0.921016
-165.751136,-393.720365,0.882541
-165.722388,-394.722254,0.843872
-165.692185,-395.724047,0.805004
-165.660539,-396.725742,0.765934
-165.627465,-397.727337,0.726656
-165.592978,-398.728830,0.687168
-165.557092,-399.730220,0.647466
-165.519819,-400.731506,0.607545
-165.481174,-401.732685,0.567402
-165.441168,-402.733757,0.527032
-165.399810,-403.734719,0.486432
