x,y,z
-29.919030075650852,-39.096203438622126,231.93495572366083
-30.487918621194808,-39.920602512219034,231.93495646270324
-31.056759000589153,-40.74502295406745,231.93495735951728
-31.625544852326186,-41.56946925810058,231.93495841410294
-32.19426967800305,-42.39394598269848,231.93495962451735
-32.76292684567616,-43.21845778620792,231.9349609943917
-33.33150958882467,-44.04300940879648,231.93496251998698
-33.90001101271773,-44.86760567174713,231.93496420373927
-34.468424093071405,-45.69225148295902,231.934966044153
-35.03674168499961,-46.51695183312165,231.93496804197594
-35.604956505245326,-47.341711793119714,231.93497019767835
-36.17306115753658,-48.16653651988031,231.93497250976463
-36.74104811744246,-48.99143124750458,231.93497497851237
-37.30890974249289,-49.81640129134047,231.93497760533228
-37.87663826457094,-50.641452046307904,231.93498038825848
-38.44422580390801,-51.466588986291356,231.93498332776127
-39.01166436149657,-52.29181766088857,231.93498642505872
-39.57894582155109,-53.11714370174883,231.93498967865517
-40.14606195925899,-53.94257281321342,231.93499308827307
-40.71300442922575,-54.76811078083779,231.93499665604804
-41.27976478602133,-55.593763455890496,231.935000380785
-41.84633446868858,-56.419536773285245,231.93500426079564
-42.412704808555645,-57.24543673749082,231.9350082987936
-42.9788670342291,-58.07146942969172,231.93501249336816
-43.544812266641685,-58.89764099747532,231.93501684221403
-44.11053152519429,-59.723957671466394,231.93502135024232
-44.67601572807291,-60.55042574089276,231.93502601356727
-45.24125569062963,-61.37705158036829,231.9350308334688
-45.80624213595249,-62.20384161928388,231.93503580941487
-46.370965683044574,-63.03080237082355,231.93504094176782
-46.93541685215516,-63.85794041311283,231.9350462306125
-47.499586082599166,-64.68526238787325,231.93505167605682
-48.063463707166136,-65.5127750127042,231.93505727632754
-48.6270399738564,-66.34048507190454,231.93506303403058
-49.19030503832417,-67.16839941085601,231.93506894647518
-49.75324897005055,-67.99652495029352,231.93507501709988
-50.31586175509071,-68.82486867057418,231.93508124199593
-50.87813328706176,-69.65343762023184,231.9350876229365
-51.44005338247081,-70.48223891065743,231.93509415964402
-52.00161177432739,-71.31127971838174,231.93510085211855
-52.56279811981264,-72.14056728202047,231.93510770055272
-53.12360199642427,-72.9701089053786,231.93511470586412
-53.68401291233147,-73.79991194339368,231.93512186452938
-54.24402029593824,-74.62998382249799,231.93512918073478
-54.803613513978945,-75.46033201799082,231.93513665131945
-55.362781861163455,-76.29096406809447,231.93514427833406
-55.92151457301327,-77.12188756466054,231.935152060283
-56.479800816911194,-77.95311015699588,231.9351599976366
-57.037629701082324,-78.78463954567161,231.93516809058747
-57.59499028342228,-79.61648348815663,231.9351763394981
-58.151871556332765,-80.4486497915255,231.935184742148
-58.70826245682093,-81.28114631810809,231.93519330095037
-59.26415187542955,-82.11398098324003,231.93520201507252
-59.81952863213223,-82.94716175100865,231.9352108823789
-60.37438150381294,-83.7806966724504,231.93521990658553
-60.92869920439014,-84.6145937512718,231.93522908555687
-61.482470344490196,-85.4488614060943,231.93523841976318
-62.03568370451387,-86.2835069264438,231.93524790892693
-62.58832602382901,-87.1185428100896,231.93525755257778
-63.14036905216125,-87.95399275142762,231.93526735063102
-63.69178592035655,-88.78986935003866,231.93527730438947
-64.24256235171055,-89.626171773534,231.9352874114401
-64.79268104318803,-90.46290163834368,231.9352976739184
-65.34212523784853,-91.30005982928589,231.93530808855564
-65.89087776386009,-92.13764735666632,231.9353186589212
-66.43892132139143,-92.97566519759624,231.93532938219346
-66.98623841918027,-93.8141143826781,231.93534026089347
-67.53281142771615,-94.65299601325029,231.93535129241542
-68.07862259751377,-95.49231132311706,231.93536247648169
-68.62365400327494,-96.33206166993989,231.9353738151431
-69.16788796008373,-97.17224870146094,231.93538530485324
-69.71130547568777,-98.01287378279096,231.9353969486034
-70.25389257983858,-98.8539407880844,231.93540874470526
-70.79576417412926,-99.69549295030771,231.93542069551012
-71.33709361276652,-100.53756159702891,231.93543280110282
-71.87788225695294,-101.38019306364106,231.93544506466733
-72.41814051567226,-102.22343394319978,231.9354574840681
-72.95787760567373,-103.06733314290403,231.93547006107832
-73.49710545241894,-103.91194317950539,231.93548279794146
-74.03583871195451,-104.75732153241819,231.93549569393272
