x,y,z
-9.115924715634,7.009897538515,231.934913443599
-9.673491990208,6.255950361643,231.934913519742
-10.241282512450,5.486172646574,231.934913737664
-10.818715847504,4.701437752968,231.934914105325
-11.405211551460,3.902619028776,231.934914631128
-12.000189185645,3.090589833708,231.934915319762
-12.603068310006,2.266223518817,231.934916181790
-13.213268479433,1.430393437589,231.934917220766
-13.830209264153,0.583972949617,231.934918440741
-14.453310216473,-0.272164594733,231.934919850117
-15.081990901506,-1.137145838167,231.934921450700
-15.715670879248,-2.010097425690,231.934923244851
-16.353769716032,-2.890146003963,231.934925238452
-16.995706973144,-3.776418216432,231.934927431173
-17.640902213155,-4.668040705769,231.934929824819
-18.288774996040,-5.564140118555,231.934932421364
-18.938744894561,-6.463843096017,231.934935221226
-19.590231467400,-7.366276286296,231.934938222363
-20.242654284807,-8.270566328223,231.934941422224
-20.895432908029,-9.175839868394,231.934944821564
-21.547986904721,-10.081223549549,231.934948414457
-22.199735843830,-10.985844012865,231.934952200293
-22.850099289166,-11.888827903396,231.934956174064
-23.498496812197,-12.789301863930,231.934960327596
-24.144347980610,-13.686392534841,231.934964658980
-24.787072363300,-14.579226561249,231.934969160599
-25.426089529225,-15.466930583543,231.934973824196
-26.060819048602,-16.348631242919,231.934978642541
-26.690680494141,-17.223455184546,231.934983606437
-27.315093432266,-18.090529047993,231.934988707158
-27.933477435740,-18.948979474487,231.934993936362
-28.545252078613,-19.797933103697,231.934999279086
-29.149836933586,-20.636516581581,231.935004728824
-29.746651570898,-21.463856547755,231.935010270058
-30.335115565924,-22.279079637965,231.935015892032
-30.914648491342,-23.081312499743,231.935021582836
-31.484669918683,-23.869681771148,231.935027327507
-32.044599427106,-24.643314090339,231.935033110719
-32.593856588070,-25.401336100889,231.935038919451
-33.131860975626,-26.142874442469,231.935044740150
-33.658032166372,-26.867055754778,231.935050554391
-34.171789738163,-27.573006678323,231.935056347958
-34.672553263770,-28.259853853543,231.935062105887
-35.159742319830,-28.926723916986,231.935067808473
-35.628074468017,-29.566381081049,231.935073385582
-36.097341527761,-30.206484827573,231.935079068390
-36.587219103054,-30.874137986133,231.935085103317
-37.096646151683,-31.567944448906,231.935091490775
-37.624561626287,-32.286508112735,231.935098232561
-38.169904488436,-33.028432872211,231.935105324983
-38.731613695885,-33.792322621877,231.935112766570
-39.308628203827,-34.576781257820,231.935120558480
-39.899886975153,-35.380412670707,231.935128695249
-40.504328966307,-36.201820758217,231.935137174017
-41.120893137597,-37.039609414138,231.935145991456
-41.748518451905,-37.892382529926,231.935155141461
-42.386143869540,-38.758743999367,231.935164616516
-43.032708353321,-39.637297718648,231.935174411796
-43.687150863630,-40.526647576037,231.935184516540
-44.348410368382,-41.425397466999,231.935194921183
-45.015425829187,-42.332151282972,231.935205616904
-45.687136212722,-43.245512917038,231.935216590231
-46.362480484431,-44.164086259110,231.935227829459
-47.040397613553,-45.086475200725,231.935239318232
-47.719826566804,-46.011283631812,231.935251041855
-48.399706312121,-46.937115446258,231.935262983970
-49.078975821357,-47.862574530117,231.935275124865
-49.756574066284,-48.786264775747,231.935287446686
-50.431440017451,-49.706790071551,231.935299929442
-51.102512646681,-50.622754305948,231.935312547740
-51.768730929550,-51.532761372133,231.935325282037
-52.429033837951,-52.435415153008,231.935338106492
-53.082360348742,-53.329319540998,231.935350995878
-53.727649436327,-54.213078421402,231.935363923416
-54.363840081459,-55.085295680388,231.935376859608
-54.989871259724,-55.944575210366,231.935389778398
