x,y,z
-8.253528817867052,6.186001393211995,0.0
-8.820964946713628,5.439136573937672,0.0
-9.39883140515198,4.676570716524727,0.0
-9.986536336250111,3.899169821754768,0.0
-10.583487883076032,3.107799890409409,0.0
-11.189094188697734,2.3033269232702507,0.0
-11.802763396183227,1.4866169211189038,0.0
-12.423903648600511,0.6585358847369809,0.0
-13.051923089017594,-0.180050185093914,0.0
-13.686229860502472,-1.0282752875921717,0.0
-14.326232106123156,-1.8852734219761849,0.0
-14.971337968947642,-2.7501785874643394,0.0
-15.620955592043932,-3.622124783275032,0.0
-16.274493118480038,-4.500246008626654,0.0
-16.931358691323954,-5.383676262737595,0.0
-17.590960453643685,-6.271549544826248,0.0
-18.25270654850723,-7.162999854111,0.0
-18.916005118982604,-8.057161189810248,0.0
-19.5802643081378,-8.953167551142382,0.0
-20.24489225904082,-9.850152937325795,0.0
-20.909297114759674,-10.747251347578876,0.0
-21.572887018362355,-11.643596781120014,0.0
-22.23507011291688,-12.5383232371676,0.0
-22.895254541491237,-13.430564714940036,0.0
-23.552848447153437,-14.319455213655704,0.0
-24.207259972971485,-15.204128732533002,0.0
-24.85789726201337,-16.083719270790308,0.0
-25.504168457347117,-16.957360827646028,0.0
-26.145481702040712,-17.824187402318543,0.0
-26.78124513916216,-18.68333299402626,0.0
-27.41086691177947,-19.533931601987547,0.0
-28.03375516296064,-20.375117225420816,0.0
-28.64931803577368,-21.206023863544456,0.0
-29.25696367328658,-22.02578551557684,0.0
-29.856100218567363,-22.833536180736395,0.0
-30.44613581468401,-23.62840985824148,0.0
-31.02647860470453,-24.40954054731049,0.0
-31.59653673169693,-25.176062247161838,0.0
-32.15571833872922,-25.92710895701389,0.0
-32.70343156886939,-26.66181467608505,0.0
-33.23908456518545,-27.37931340359372,0.0
-33.762085470745404,-28.078739138758277,0.0
-34.27184242861725,-28.759225880797104,0.0
-34.767763581868984,-29.41990762892861,0.0
-35.24447173936929,-30.05361569070652,0.0
-35.72212082602674,-30.687758267820644,0.0
-36.22074132507553,-31.349188295426877,0.0
-36.73925391453031,-32.0365231539432,0.0
-37.27657927240577,-32.74838022378758,0.0
-37.831638076716565,-33.48337688537797,0.0
-38.40335100547737,-34.24013051913236,0.0
-38.99063873670284,-35.0172585054687,0.0
-39.59242194840767,-35.813378224804985,0.0
-40.20762131860651,-36.62710705755916,0.0
-40.83515752531403,-37.4570623841492,0.0
-41.47395124654492,-38.3018615849931,0.0
-42.12292316031383,-39.16012204050882,0.0
-42.78099394463543,-40.0304611311143,0.0
-43.447084277524375,-40.91149623722754,0.0
-44.12011483699537,-41.8018447392665,0.0
-44.799006301063045,-42.700124017649145,0.0
-45.482679347742085,-43.60495145279344,0.0
-46.17005465504718,-44.51494442511738,0.0
-46.86005290099296,-45.42872031503891,0.0
-47.551594763594125,-46.344896502976006,0.0
-48.24360092086533,-47.26209036934665,0.0
-48.93499205082125,-48.17891929456879,0.0
-49.62468883147655,-49.09400065906041,0.0
-50.31161194084589,-50.00595184323947,0.0
-50.994682056943965,-50.91339022752396,0.0
-51.6728198577854,-51.81493319233183,0.0
-52.34494602138492,-52.70919811808106,0.0
-53.00998122575714,-53.59480238518961,0.0
-53.66684614891677,-54.47036337407545,0.0
-54.31446146887846,-55.33449846515656,0.0
-54.95174786365688,-56.18582503885089,0.0
-55.5776260112667,-57.02296047557643,0.0
-56.1910165897226,-57.84452215575115,0.0
-56.79084027703923,-58.64912745979302,0.0
-57.37601775123126,-59.43539376811999,0.0
-57.945469690313374,-60.20193846115004,0.0
-58.49811677230023,-60.94737891930114,0.0
-59.03287967520652,-61.67033252299129,0.0
-59.54867907704686,-62.36941665263841,0.0
-60.04443565583597,-63.04324868866048,0.0
-60.519070089588496,-63.6904460114755,0.0
-60.97150305631912,-64.30962600150141,0.0
-61.400655234042496,-64.89940603915619,0.0
-61.80544730077331,-65.45840350485781,0.0
-62.2432581517807,-66.06562208372681,0.0
-62.748873197412806,-66.76448892249881,0.0
-63.27004824360003,-67.48204046519025,0.0
-63.8056976584409,-68.21729994157245,0.0
-64.3547358100338,-68.96929058141667,0.0
-64.91607706647727,-69.73703561449433,0.0
-65.48863579586974,-70.51955827057668,0.0
-66.07132636630965,-71.31588177943502,0.0
-66.66306314589549,-72.12502937084074,0.0
-67.26276050272571,-72.94602427456508,0.0
-67.86933280489879,-73.77788972037946,0.0
-68.48169442051316,-74.61964893805512,0.0
-69.09875971766733,-75.47032515736343,0.0
-69.71944306445972,-76.32894160807565,0.0
-70.34265882898879,-77.19452151996312,0.0
-70.96732137935304,-78.0660881227972,0.0
-71.59234508365094,-78.9426646463492,0.0
-72.21664430998086,-79.82327432039041,0.0
-72.83913342644138,-80.70694037469217,0.0
-73.45872680113088,-81.59268603902575,0.0
-74.07433880214785,-82.47953454316254,0.0
-74.68488379759077,-83.36650911687384,0.0
-75.28927615555808,-84.25263298993097,0.0
-75.88643024414824,-85.13692939210523,0.0
-76.47526043145972,-86.01842155316794,0.0
-77.05468108559097,-86.89613270289044,0.0
-77.62360657464049,-87.76908607104406,0.0
-78.1809512667067,-88.63630488740006,0.0
-78.7256295298881,-89.49681238172984,0.0
-79.25655573228312,-90.34963178380468,0.0
-79.7726442419902,-91.19378632339588,0.0
-80.27280942710789,-92.02829923027475,0.0
-80.75596565573456,-92.85219373421268,0.0
-81.22102729596872,-93.66449306498096,0.0
-81.66690871590883,-94.46422045235089,0.0
-82.09252428365335,-95.2503991260938,0.0
-82.49678836730072,-96.022052315981,0.0
-82.98348202119865,-96.98783527822238,0.0
-83.71375806525444,-98.46842246801802,0.0
-84.34921287979994,-99.78524850539878,0.0
-84.89927783338217,-100.9561267877079,0.0
-85.37338429454823,-101.99887071228862,0.0
-85.78096363184522,-102.93129367648424,0.0
-86.13144721382011,-103.77120907763792,0.0
-86.43426640902005,-104.536430313093,0.0
-86.69885258599214,-105.24477078019268,0.0
-86.93463711328337,-105.91404387628025,0.0
-87.15105135944086,-106.56206299869888,0.0
-87.35752669301169,-107.20664154479192,0.0
-87.5634944825429,-107.86559291190255,0.0
-87.84360239909094,-108.77714053475944,0.0
-88.11434068932775,-109.67242748161432,0.0
-88.37877147093367,-110.54909503397002,0.0
-88.64320884749827,-111.41523321002371,0.0
-88.9139669226112,-112.2789320279728,0.0
-89.19735979986216,-113.14828150601464,0.0
-89.49970158284071,-114.03137166234656,0.0
-89.82730637513654,-114.93629251516587,0.0
-90.18648828033928,-115.87113408267,0.0
-90.58356140203854,-116.8439863830562,0.0
-91.02483984382395,-117.86293943452183,0.0
-91.5166377092852,-118.9360832552643,0.0
-92.04293223980083,-120.02667839022811,0.0
-92.46121926224085,-120.8800565337634,0.0
-92.8948742289775,-121.76963455342865,0.0
-93.34072293059312,-122.6886238288064,0.0
-93.79559115767012,-123.63023573947925,0.0
-94.25630470079068,-124.58768166502948,0.0
-94.71968935053717,-125.55417298503968,0.0
