x,y,z
163.540052,48.299996,5.786000
162.965381,49.116547,5.786000
162.387810,49.932887,5.786000
161.809193,50.748486,5.786000
161.230523,51.564048,5.786000
160.652791,52.380274,5.786000
160.076990,53.197864,5.786000
159.502927,54.016675,5.786000
158.929213,54.835730,5.786000
158.355822,55.655012,5.786000
157.782746,56.474514,5.786000
157.209975,57.294229,5.786000
156.637502,58.114152,5.786000
156.065316,58.934276,5.786000
155.493409,59.754595,5.786000
154.921773,60.575102,5.786000
154.350398,61.395791,5.786000
153.779276,62.216656,5.786000
153.208397,63.037690,5.786000
152.637753,63.858888,5.786000
152.067334,64.680242,5.786000
151.497132,65.501747,5.786000
150.927138,66.323396,5.786000
150.357344,67.145183,5.786000
149.787738,67.967102,5.786000
149.218314,68.789146,5.786000
148.649062,69.611309,5.786000
148.079974,70.433586,5.786000
147.511039,71.255968,5.786000
146.942250,72.078452,5.786000
146.373596,72.901029,5.786000
145.805071,73.723695,5.786000
145.236663,74.546442,5.786000
144.668365,75.369265,5.786000
144.100167,76.192157,5.786000
143.532060,77.015113,5.786000
142.964036,77.838125,5.786000
142.396086,78.661187,5.786000
141.828200,79.484295,5.786000
141.260369,80.307440,5.786000
140.692585,81.130618,5.786000
140.124838,81.953821,5.786000
139.557120,82.777044,5.786000
138.989421,83.600281,5.786000
138.421733,84.423524,5.786000
137.854047,85.246769,5.786000
137.286353,86.070009,5.786000
136.718642,86.893237,5.786000
136.150907,87.716448,5.786000
135.583136,88.539635,5.786000
135.015323,89.362792,5.786000
134.447457,90.185913,5.786000
133.879530,91.008991,5.786000
133.311532,91.832021,5.786000
132.743455,92.654997,5.786000
132.175290,93.477911,5.786000
131.607027,94.300758,5.786000
131.038659,95.123532,5.786000
130.470973,95.947009,5.786000
129.923723,96.783346,5.786000
129.403656,97.637370,5.786000
128.910384,98.507070,5.786000
128.443022,99.391022,5.786000
128.000575,100.287877,5.786000
127.581971,101.196332,5.786000
127.186187,102.114877,5.786000
126.812040,103.042281,5.786000
126.458178,103.977748,5.786000
126.123328,104.920338,5.786000
125.806216,105.869165,5.785995
125.505623,106.823228,5.785595
125.220288,107.781702,5.784561
124.948821,108.744315,5.782893
124.689968,109.710453,5.780591
124.442494,110.679529,5.777655
124.205171,111.650995,5.774085
123.976728,112.624582,5.769880
123.755932,113.599932,5.765041
123.541580,114.576604,5.759568
123.332470,115.554171,5.753461
123.127338,116.532489,5.746720
122.924849,117.511748,5.739344
122.723855,118.491143,5.731334
122.512253,119.465781,5.722690
122.209290,120.425262,5.713412
121.820974,121.347417,5.703500
121.359177,122.236702,5.692954
120.833577,123.089990,5.681773
120.250780,123.904112,5.669958
119.614673,124.675887,5.657509
118.926790,125.401494,5.644426
118.188368,126.074167,5.630708
117.399988,126.684761,5.616357
116.558549,127.223002,5.601371
115.666784,127.670297,5.585751
114.729260,128.003892,5.569497
113.750497,128.197026,5.552609
112.753912,128.218254,5.535086
111.768423,128.045962,5.516929
110.821316,127.736383,5.498139
109.912221,127.325437,5.478714
109.049603,126.822094,5.458654
108.237874,126.238592,5.438201
107.477568,125.588266,5.417742
106.766242,124.883852,5.397283
106.099552,124.136546,5.376825
105.472183,123.355696,5.356366
104.878483,122.548905,5.335962
104.312838,121.722308,5.315823
103.769853,120.880890,5.295969
103.244395,120.028779,5.276401
102.731572,119.169493,5.257119
102.226660,118.306140,5.238122
101.724958,117.441498,5.219410
101.221549,116.577950,5.200984
100.711654,115.718480,5.182844
100.190208,114.866337,5.164989
99.651761,114.025296,5.147419
99.090337,113.199929,5.130135
98.509567,112.388684,5.113137
97.926595,111.576196,5.096424
97.343471,110.763815,5.079996
96.760197,109.951541,5.063854
96.176775,109.139374,5.047997
95.593205,108.327312,5.032426
95.009489,107.515354,5.017141
94.425628,106.703499,5.002141
93.841624,105.891747,4.987426
93.257477,105.080097,4.972997
92.673189,104.268548,4.958858
92.088761,103.457098,4.945013
91.504195,102.645747,4.931465
90.919492,101.834495,4.918212
90.334652,101.023339,4.905255
89.749683,100.212286,4.892593
89.164581,99.401331,4.880227
88.579348,98.590470,4.868157
87.993984,97.779703,4.856383
87.408490,96.969028,4.844904
86.822867,96.158445,4.833721
86.237118,95.347953,4.822833
85.651243,94.537551,4.812241
85.065243,93.727237,4.801945
84.479120,92.917012,4.791945
83.892875,92.106873,4.782240
83.306509,91.296821,4.772831
82.720024,90.486854,4.763717
82.133421,89.676972,4.754900
81.546700,88.867173,4.746377
80.959870,88.057465,4.738151
80.372929,87.247842,4.730219
79.785874,86.438299,4.722470
79.198707,85.628837,4.714827
78.611430,84.819453,4.707289
78.024043,84.010148,4.699856
77.436548,83.200919,4.692530
76.848947,82.391767,4.685308
76.261240,81.582691,4.678193
75.673430,80.773688,4.671183
75.085516,79.964759,4.664279
74.497500,79.155903,4.657480
73.909385,78.347119,4.650787
73.321170,77.538405,4.644199
72.732857,76.729761,4.637717
72.144454,75.921195,4.631341
71.555959,75.112700,4.625070
70.967369,74.304273,4.618905
70.378687,73.495912,4.612845
69.789913,72.687616,4.606891
69.201049,71.879385,4.601043
68.612097,71.071217,4.595300
68.023056,70.263112,4.589663
67.433930,69.455069,4.584123
66.844718,68.647086,4.578572
66.255422,67.839163,4.572980
65.666044,67.031300,4.567345
65.076585,66.223494,4.561668
64.487045,65.415746,4.555949
63.897427,64.608054,4.550188
63.307737,63.800425,4.544384
62.717974,62.992854,4.538538
62.128136,62.185337,4.532650
61.538224,61.377872,4.526720
60.948240,60.570459,4.520747
60.358184,59.763097,4.514733
59.768059,58.955785,4.508676
59.177866,58.148522,4.502576
58.587605,57.341307,4.496435
57.997278,56.534139,4.490251
57.406886,55.727018,4.484025
56.816431,54.919942,4.477757
56.225914,54.112910,4.471446
55.635336,53.305922,4.465093
55.044698,52.498977,4.458698
54.454007,51.692080,4.452219
53.863260,50.885226,4.445466
53.272458,50.078413,4.438417
52.681602,49.271638,4.431072
52.090692,48.464902,4.423432
51.499730,47.658203,4.415496
50.908717,46.851541,4.407265
50.317655,46.044913,4.398737
49.726545,45.238321,4.389915
49.135388,44.431762,4.380796
48.544185,43.625235,4.371382
47.952938,42.818741,4.361672
47.361648,42.012277,4.351667
46.770316,41.205844,4.341365
46.178944,40.399439,4.330768
45.587535,39.593067,4.319876
44.996090,38.786724,4.308688
44.404608,37.980407,4.297204
43.813090,37.174116,4.285424
43.221539,36.367849,4.273349
42.629955,35.561606,4.260978
42.038339,34.755386,4.248311
41.446692,33.949188,4.235470
40.855017,33.143010,4.222686
40.263314,32.336853,4.209965
39.671584,31.530715,4.197308
39.079829,30.724595,4.184714
38.488050,29.918492,4.172183
37.896249,29.112405,4.159716
37.304426,28.306334,4.147312
36.712584,27.500280,4.134972
36.120723,26.694239,4.122695
35.528845,25.888212,4.110481
34.936951,25.082196,4.098330
34.345042,24.276192,4.086243
33.753119,23.470197,4.074220
33.161183,22.664211,4.062259
32.569236,21.858234,4.050362
31.977279,21.052264,4.038529
31.385314,20.246301,4.026758
30.793341,19.440343,4.015051
30.201361,18.634389,4.003408
29.609377,17.828440,3.991828
29.017390,17.022493,3.980311
28.425400,16.216548,3.968940
27.833408,15.410603,3.957781
27.241416,14.604657,3.946833
26.649425,13.798711,3.936095
26.057437,12.992763,3.925569
25.465453,12.186812,3.915255
24.873475,11.380858,3.905151
24.281503,10.574899,3.895259
23.689539,9.768935,3.885578
23.097584,8.962964,3.876108
22.505639,8.156987,3.866849
21.913706,7.351001,3.857801
21.321786,6.545006,3.848965
20.729880,5.739002,3.840340
20.137990,4.932986,3.831926
19.546116,4.126959,3.823723
18.954259,3.320916,3.815732
18.362418,2.514858,3.807951
17.770598,1.708784,3.800382
17.178800,0.902695,3.793024
16.587025,0.096590,3.785877
15.995275,-0.709532,3.778933
15.403550,-1.515672,3.772056
14.811852,-2.321831,3.765201
14.220182,-3.128010,3.758367
13.628542,-3.934210,3.751554
13.036932,-4.740431,3.744762
12.445355,-5.546675,3.737991
11.853811,-6.352943,3.731241
11.262301,-7.159235,3.724512
10.670827,-7.965552,3.717805
10.079387,-8.771901,3.711118
9.487982,-9.578281,3.704453
8.896616,-10.384689,3.697809
8.305291,-11.191126,3.691186
7.714009,-11.997593,3.684584
7.122770,-12.804091,3.678003
6.531576,-13.610620,3.671443
5.940427,-14.417182,3.664905
5.349326,-15.223778,3.658387
4.758274,-16.030408,3.651891
4.167271,-16.837073,3.645416
3.576320,-17.643774,3.638962
2.985421,-18.450512,3.632560
2.394576,-19.257289,3.626367
1.803785,-20.064104,3.620407
1.213046,-20.870965,3.614680
0.622360,-21.677874,3.609185
0.031733,-22.484824,3.603922
-0.558834,-23.291817,3.598891
-1.149340,-24.098854,3.594093
-1.739784,-24.905934,3.589527
-2.330163,-25.713060,3.585193
