x,y,z
52.564236,83.714275,4.589922
52.418352,83.507464,4.588501
52.272434,83.300676,4.587078
51.980597,82.887102,4.584230
51.688656,82.473600,4.581373
51.396610,82.060170,4.578508
51.104461,81.646811,4.575631
50.812211,81.233524,4.572744
50.519860,80.820308,4.569845
50.169088,80.324416,4.566355
49.759852,79.745879,4.562276
49.292113,79.084725,4.557607
48.765828,78.340982,4.552349
48.180959,77.514678,4.546498
47.595787,76.688587,4.540631
47.010315,75.862705,4.534740
46.424547,75.037032,4.528820
45.838486,74.211563,4.522862
45.252135,73.386297,4.516860
44.665498,72.561232,4.510806
44.078578,71.736365,4.504689
43.491379,70.911696,4.498498
42.903904,70.087221,4.492223
42.316158,69.262939,4.485849
41.728144,68.438849,4.479366
41.139866,67.614949,4.472760
40.551326,66.791235,4.466021
39.962529,65.967706,4.459136
39.373477,65.144359,4.452093
38.784173,64.321191,4.444880
38.194621,63.498198,4.437484
37.604822,62.675379,4.429894
37.014781,61.852731,4.422098
36.424500,61.030252,4.414083
35.833984,60.207938,4.405837
35.243235,59.385790,4.397349
34.652258,58.563804,4.388606
34.061057,57.741980,4.379596
33.469635,56.920314,4.370308
32.877995,56.098807,4.360738
32.286142,55.277455,4.350886
31.694079,54.456255,4.340758
31.101807,53.635206,4.330365
30.509331,52.814303,4.319726
29.916653,51.993545,4.308856
29.323777,51.172927,4.297772
28.730704,50.352449,4.286493
28.137440,49.532106,4.275034
27.543986,48.711898,4.263414
26.950347,47.891822,4.251649
26.356526,47.071876,4.239756
25.762528,46.252059,4.227753
25.168354,45.432368,4.215656
24.574011,44.612802,4.203484
23.979500,43.793358,4.191252
23.384825,42.974035,4.178978
22.789989,42.154829,4.166679
22.194996,41.335738,4.154373
21.599848,40.516759,4.142076
21.004547,39.697888,4.129806
20.409098,38.879124,4.117576
19.813503,38.060464,4.105400
19.217765,37.241905,4.093287
18.621889,36.423445,4.081246
18.025877,35.605082,4.069284
17.429734,34.786815,4.057407
16.833462,33.968641,4.045622
16.237065,33.150558,4.033936
15.640548,32.332565,4.022357
15.043913,31.514659,4.010891
14.447164,30.696838,3.999546
13.850303,29.879098,3.988328
13.253334,29.061438,3.977244
12.656259,28.243853,3.966302
12.059082,27.426342,3.955509
11.461805,26.608903,3.944871
10.864433,25.791531,3.934396
10.266968,24.974226,3.924090
9.669414,24.156985,3.913961
9.071774,23.339807,3.904015
8.474052,22.522688,3.894260
7.876251,21.705627,3.884703
7.278375,20.888621,3.875348
6.680427,20.071669,3.866197
6.082411,19.254769,3.857248
5.484329,18.437917,3.848498
4.886185,17.621110,3.839937
4.287982,16.804347,3.831558
3.689723,15.987625,3.823351
3.091411,15.170941,3.815307
2.493049,14.354292,3.807417
1.894641,13.537676,3.799671
1.296190,12.721092,3.792062
0.697699,11.904536,3.784580
0.099172,11.088007,3.777215
-0.499388,10.271502,3.769959
-1.097977,9.455018,3.762803
-1.696593,8.638555,3.755737
-2.295232,7.822109,3.748753
-2.893890,7.005677,3.741842
-3.492564,6.189258,3.734994
-4.091252,5.372849,3.728200
-4.689949,4.556448,3.721452
-5.288653,3.740051,3.714740
-5.887361,2.923657,3.708061
-6.486069,2.107263,3.701410
-7.084774,1.290867,3.694792
-7.683472,0.474467,3.688211
-8.282160,-0.341940,3.681677
-8.880836,-1.158357,3.675200
-9.479495,-1.974786,3.668790
-10.078135,-2.791228,3.662457
-10.676752,-3.607688,3.656211
-11.275344,-4.424166,3.650062
-11.873905,-5.240666,3.644020
-12.472435,-6.057189,3.638095
-13.070928,-6.873738,3.632298
-13.669381,-7.690316,3.626638
-14.267792,-8.506924,3.621126
-14.866157,-9.323565,3.615771
-15.464473,-10.140241,3.610584
-16.062736,-10.956954,3.605574
-16.660943,-11.773708,3.600752
-17.259091,-12.590504,3.596127
-17.857177,-13.407346,3.591711
-18.455197,-14.224235,3.587511
-19.053150,-15.041175,3.583537
-19.651031,-15.858168,3.579797
-20.248836,-16.675216,3.576301
-20.846564,-17.492322,3.573057
-21.444209,-18.309487,3.570078
-22.041769,-19.126713,3.567372
-22.639240,-19.944003,3.564953
-23.236619,-20.761359,3.562830
-23.833902,-21.578783,3.561014
-24.431086,-22.396278,3.559518
-25.028168,-23.213845,3.558351
-25.625145,-24.031489,3.557525
-26.222014,-24.849211,3.557051
-26.818771,-25.667014,3.556941
-27.415414,-26.484901,3.557204
-28.011940,-27.302875,3.557853
-28.608345,-28.120937,3.558898
-29.204625,-28.939091,3.560350
-29.800778,-29.757337,3.562221
-30.396799,-30.575679,3.564521
-30.992686,-31.394117,3.567262
-31.588433,-32.212654,3.570452
-32.184039,-33.031292,3.574100
-32.779499,-33.850033,3.578211
-33.374810,-34.668880,3.582789
-33.969970,-35.487836,3.587835
-34.564975,-36.306903,3.593352
-35.159823,-37.126084,3.599343
-35.754510,-37.945382,3.605808
-36.349033,-38.764799,3.612749
-36.943390,-39.584340,3.620170
-37.537576,-40.404004,3.628072
-38.131588,-41.223795,3.636456
-38.725423,-42.043713,3.645326
-39.319076,-42.863762,3.654682
-39.912545,-43.683942,3.664527
-40.505824,-44.504256,3.674863
-41.098912,-45.324707,3.685691
-41.691805,-46.145295,3.697015
-42.284499,-46.966024,3.708835
-42.876991,-47.786897,3.721155
-43.469279,-48.607917,3.733975
-44.061360,-49.429086,3.747298
-44.653231,-50.250407,3.761125
-45.244888,-51.071884,3.775459
-45.836329,-51.893518,3.790302
-46.427549,-52.715310,3.805656
-47.018545,-53.537264,3.821524
-47.609313,-54.359381,3.837909
-48.199850,-55.181662,3.854813
-48.790151,-56.004109,3.872241
-49.380214,-56.826724,3.890194
-49.970034,-57.649510,3.908676
-50.559609,-58.472469,3.927690
-51.148935,-59.295604,3.947238
-51.738010,-60.118917,3.967325
-52.326831,-60.942412,3.987953
-52.915394,-61.766091,4.009124
-53.503696,-62.589957,4.030843
-54.091735,-63.414012,4.053111
-54.679506,-64.238259,4.075933
-55.267007,-65.062699,4.099310
-55.854232,-65.887334,4.123247
-56.441179,-66.712165,4.147745
-57.027844,-67.537195,4.172809
-57.614223,-68.362426,4.198437
-58.200313,-69.187859,4.224624
-58.786110,-70.013497,4.251360
-59.371611,-70.839342,4.278629
-59.956813,-71.665397,4.306409
-60.541713,-72.491665,4.334678
-61.126308,-73.318149,4.363413
-61.710595,-74.144850,4.392590
-62.294570,-74.971772,4.422186
-62.878231,-75.798917,4.452179
-63.461573,-76.626286,4.482545
-64.044592,-77.453882,4.513261
-64.627286,-78.281707,4.544304
-65.209650,-79.109761,4.575652
-65.791681,-79.938048,4.607280
-66.373375,-80.766568,4.639165
-66.954729,-81.595325,4.671285
-67.535739,-82.424320,4.703617
-68.116403,-83.253557,4.736138
-68.696717,-84.083037,4.768823
-69.276677,-84.912763,4.801651
-69.856280,-85.742738,4.834601
-70.435524,-86.572962,4.867660
-71.014405,-87.403440,4.900825
-71.592918,-88.234173,4.934102
-72.171062,-89.065163,4.967507
-72.748831,-89.896412,5.001061
-73.326223,-90.727922,5.034787
-73.903234,-91.559695,5.068709
-74.479860,-92.391733,5.102849
-75.056098,-93.224038,5.137231
-75.631945,-94.056613,5.171877
-76.207397,-94.889459,5.206811
-76.782451,-95.722580,5.242056
-77.357103,-96.555976,5.277635
-77.931349,-97.389649,5.313571
-78.505186,-98.223603,5.349886
-79.078611,-99.057838,5.386605
-79.651620,-99.892358,5.423750
-80.224209,-100.727163,5.461344
-80.796376,-101.562257,5.499410
-81.368131,-102.397633,5.537972
-81.939470,-103.233293,5.577052
-82.510456,-104.069193,5.616669
-83.081154,-104.905291,5.656833
-83.651625,-105.741547,5.697547
-84.221918,-106.577926,5.738801
-84.792023,-107.414443,5.780580
-85.361830,-108.251174,5.822862
-85.931200,-109.088214,5.865624
-86.499964,-109.925673,5.908845
-87.067921,-110.763679,5.952503
-87.634913,-111.602321,5.996576
-88.200783,-112.441691,6.041040
-88.765369,-113.281895,6.085875
-89.328522,-114.123027,6.131058
-89.890029,-114.965225,6.176567
-90.449678,-115.808623,6.222380
-91.007257,-116.653350,6.268475
-91.562567,-117.499518,6.314830
-92.115466,-118.347207,6.361422
-92.665885,-119.196456,6.408230
-93.213739,-120.047313,6.455231
-93.758964,-120.899816,6.502404
-94.301426,-121.754048,6.549726
-94.840926,-122.610126,6.597182
-95.377269,-123.468168,6.644764
-95.910274,-124.328275,6.692473
-96.439821,-125.190508,6.740320
-96.965893,-126.054857,6.788322
-97.488501,-126.921298,6.836502
-98.007695,-127.789786,6.884882
-98.523552,-128.660260,6.933484
-99.036111,-129.532691,6.982330
-99.545409,-130.407048,7.031442
-100.051493,-131.283284,7.080843
-100.554397,-132.161361,7.130554
-101.054223,-133.041197,7.180597
-101.551075,-133.922716,7.230996
-102.045057,-134.805843,7.281771
