x,y,z
-24.903309,12.445384,-2.005568
-25.487833,11.632028,-2.003332
-26.072392,10.818704,-2.001103
-26.656990,10.005417,-1.998860
-27.241632,9.192169,-1.996583
-27.826320,8.378962,-1.994254
-28.411059,7.565801,-1.991852
-28.995852,6.752687,-1.989357
-29.580705,5.939626,-1.986750
-30.165619,5.126619,-1.984011
-30.750600,4.313669,-1.981121
-31.335651,3.500781,-1.978059
-31.920776,2.687957,-1.974807
-32.505979,1.875201,-1.971343
-33.091263,1.062514,-1.967649
-33.676633,0.249902,-1.963705
-34.262091,-0.562635,-1.959491
-34.847642,-1.375092,-1.954987
-35.433289,-2.187466,-1.950174
-36.019034,-2.999756,-1.945032
-36.604882,-3.811959,-1.939541
-37.190834,-4.624071,-1.933681
-37.776894,-5.436091,-1.927434
-38.363064,-6.248017,-1.920778
-38.949346,-7.059846,-1.913694
-39.535741,-7.871577,-1.906163
-40.122252,-8.683208,-1.898165
-40.708879,-9.494738,-1.889681
-41.295624,-10.306167,-1.880689
-41.882486,-11.117492,-1.871172
-42.469465,-11.928715,-1.861108
-43.056561,-12.739835,-1.850479
-43.643772,-13.550853,-1.839264
-44.231096,-14.361769,-1.827444
-44.818531,-15.172585,-1.814999
-45.406072,-15.983304,-1.801909
-45.993715,-16.793927,-1.788155
-46.581455,-17.604459,-1.773718
-47.169285,-18.414903,-1.758576
-47.757198,-19.225265,-1.742711
-48.345184,-20.035550,-1.726103
-48.933233,-20.845765,-1.708731
-49.521333,-21.655918,-1.690578
-50.109470,-22.466019,-1.671621
-50.697630,-23.276078,-1.651843
-51.285795,-24.086106,-1.631223
-51.873946,-24.896116,-1.609741
-52.462061,-25.706124,-1.587378
-53.050116,-26.516145,-1.564115
-53.638087,-27.326198,-1.539930
-54.225944,-28.136302,-1.514805
-54.813658,-28.946478,-1.488720
-55.401193,-29.756750,-1.461655
-55.988515,-30.567142,-1.433591
-56.575585,-31.377682,-1.404507
-57.162363,-32.188397,-1.374385
-57.748805,-32.999319,-1.343203
-58.334863,-33.810477,-1.310943
-58.920500,-34.621919,-1.277588
-59.505690,-35.433729,-1.243181
-60.090391,-36.245965,-1.207837
-60.674552,-37.058665,-1.171672
-61.258120,-37.871869,-1.134806
-61.841041,-38.685619,-1.097354
-62.423262,-39.499956,-1.059434
-63.004726,-40.314923,-1.021163
