x,y,z
-31.00430944624418,-38.31561633240199,231.93496109904083
-31.588832799710246,-39.12897230214941,231.9349619126119
-32.173391797094126,-39.942295504754554,231.93496288412422
-32.75799012965956,-40.7555829111169,231.93496401293785
-33.34263154646442,-41.56883144794887,231.93496530082587
-33.92731984405708,-42.38203800789097,231.93496674629273
-34.51205886516391,-43.19519945264807,231.9349683494233
-35.09685248091071,-44.00831261118219,231.93497011013264
-35.681704585410216,-44.821374304870005,231.93497202916862
-36.26661907672195,-45.63438134489047,231.9349741056756
-36.85159985803202,-46.44733053933584,231.934976341257
-37.436650810790496,-47.26021870547652,231.93497873422456
-38.02177579073381,-48.07304268232372,231.93498128457819
-38.60697861130609,-48.88579933435602,231.93498399362088
-39.192263029510315,-49.698485563949816,231.93498686051993
-39.77763272278867,-50.51109832921162,231.93498988563778
-40.36309128779226,-51.32363464080839,231.93499306861196
-40.9486422043837,-52.136091592247794,231.93499640877957
-41.53428883690901,-52.94846635989319,231.93499990810645
-42.12003439582111,-53.760756220599546,231.9350035653746
-42.70588192470058,-54.57295857204201,231.93500738011366
-43.29183428362552,-55.38507094038329,231.93501135354177
-43.87789411199529,-56.19709100344346,231.93501548518861
-44.46406381181882,-57.00901660467275,231.9350197742216
-45.05034551687447,-57.82084577797974,231.93502422128063
-45.636741065797,-58.63257676393749,231.93502882796918
-46.223251959723285,-59.44420803998071,231.93503359221356
-46.80987933535894,-60.25573833818834,231.93503851337377
-47.396623923875325,-61.06716667707366,231.93504359219764
-47.98348599960491,-61.87849239560677,231.9350488320388
-48.570465344044436,-62.689715183493206,231.9350542284104
-49.15756119081831,-63.50083510884241,231.9350597813354
-49.744772158718774,-64.31185268273191,231.93506549358943
-50.33209620566066,-65.12276887989697,231.93507136480997
-50.91953054529671,-65.9335851951987,231.93507739294634
-51.507071578837184,-66.74430370423295,231.9350835791088
-52.0947148156327,-67.55492710802406,231.93508992340514
-52.68245478066444,-68.36545880672048,231.93509642666803
-53.27028492215726,-69.17590296383008,231.9351030863765
-53.85819751282585,-69.9862645711616,231.93510990394128
-54.4461835368289,-70.79654953723212,231.9351168801951
-55.03423257949126,-71.60676475836573,231.93512401336474
-55.62233271047472,-72.41691820468674,231.93513130466826
-56.21047036308377,-73.2270190100038,231.93513875402084
-56.798630204712566,-74.03707755842646,231.93514635954142
-57.3867950212975,-74.84710556958686,231.9351541231111
-57.97494559287,-75.65711618374428,231.935162043342
-58.56306057153995,-76.46712405559566,231.9351701211517
-59.15111638139854,-77.27714542471705,231.93517835645537
-59.73908710699979,-78.08719818428267,231.9351867476725
-60.32694442516018,-78.89730194324835,231.93519529704653
-60.91465752798149,-79.70747807896248,231.93520400252675
-61.50219307797488,-80.51774976575257,231.93521286328053
-62.08951518776985,-81.32814197072116,231.9352218812737
-62.67658547485868,-82.13868154669325,231.93523105370772
-63.26336288759748,-82.94939682395483,231.9352403830188
-63.84980462235745,-83.76031895684002,231.93524986743375
-64.43586308413862,-84.57147665196925,231.93525950706038
-65.02149988049484,-85.3829191018026,231.93526930236902
-65.60668962432572,-86.19472867373588,231.93527925318998
-66.19139139833877,-87.00696520897895,231.9352893574725
-66.77555232410361,-87.81966467107816,231.935299618786
-67.35912024102953,-88.6328688557179,231.93531003386164
-67.94204140648267,-89.44661878912365,231.93532060541318
-68.52426151531915,-90.26095622024769,231.93533132925432
-69.10572580837336,-91.07592290319155,231.93534220679584
-69.68637946919267,-91.89156049907558,231.9353532398958
-70.26616791147748,-92.70791027703655,231.9353644265264
-70.84503709432167,-93.52501292674373,231.9353757666878
-71.4229337926445,-94.34290829622915,231.93538725879944
-71.99980591867944,-95.16163531091354,231.9353989052127
-72.57560250903236,-95.98123140266557,231.93541070415438
-73.15027483884381,-96.80173386288652,231.93542265637234
