XODR Coordinates for (s, t) Coordinates on R1
====================================================================================================

         s |          t |          XODR X |          XODR Y |          XODR Z |            RD X |            RD Y |            RD Z
----------------------------------------------------------------------------------------------------
    3350.0 |      0.000 |      236.491084 |      -62.844894 |        6.200248 |      237.216358 |      -66.462712 |        6.200248
    3351.0 |      0.000 |      235.982984 |      -61.967695 |        6.187338 |      236.718039 |      -65.596874 |        6.187338
    3352.0 |      0.000 |      235.479978 |      -61.085960 |        6.174428 |      236.224741 |      -64.726550 |        6.174428
    3353.0 |      0.000 |      234.981757 |      -60.200053 |        6.161517 |      235.736158 |      -63.852101 |        6.161517
    3354.0 |      0.000 |      234.489576 |      -59.313173 |        6.148607 |      235.253520 |      -62.976683 |        6.148607
    3355.0 |      0.000 |      234.001766 |      -58.423286 |        6.135697 |      234.775188 |      -62.098290 |        6.135697
    3356.0 |      0.000 |      233.517855 |      -57.530453 |        6.122872 |      234.300698 |      -61.216984 |        6.122872
    3357.0 |      0.000 |      233.038202 |      -56.636277 |        6.110208 |      233.830400 |      -60.334347 |        6.110208
    3358.0 |      0.000 |      232.562051 |      -55.740295 |        6.097706 |      233.363550 |      -59.449922 |        6.097706
    3359.0 |      0.000 |      232.088938 |      -54.842566 |        6.085367 |      232.899693 |      -58.563769 |        6.085367
    3360.0 |      0.000 |      231.618505 |      -53.943343 |        6.073189 |      232.438475 |      -57.676136 |        6.073189
    3361.0 |      0.000 |      231.150508 |      -53.043093 |        6.061173 |      231.979656 |      -56.787487 |        6.061173
    3362.0 |      0.000 |      230.684703 |      -52.142286 |        6.049318 |      231.522994 |      -55.898285 |        6.049318
    3363.0 |      0.000 |      230.220213 |      -51.240163 |        6.037626 |      231.067630 |      -55.007782 |        6.037626
    3364.0 |      0.000 |      229.756872 |      -50.337335 |        6.026096 |      230.613396 |      -54.116582 |        6.026096
    3365.0 |      0.000 |      229.294880 |      -49.435144 |        6.014727 |      230.160489 |      -53.226009 |        6.014727
    3366.0 |      0.000 |      228.833035 |      -48.532196 |        6.003520 |      229.707729 |      -52.334688 |        6.003520
    3367.0 |      0.000 |      228.370822 |      -47.628437 |        5.992475 |      229.254606 |      -51.442567 |        5.992475
    3368.0 |      0.000 |      227.909106 |      -46.726531 |        5.981592 |      228.801970 |      -50.552275 |        5.981592
    3369.0 |      0.000 |      227.446519 |      -45.824780 |        5.970871 |      228.348477 |      -49.662138 |        5.970871
    3370.0 |      0.000 |      226.981833 |      -44.921789 |        5.960312 |      227.892922 |      -48.770778 |        5.960312
    3371.0 |      0.000 |      226.516773 |      -44.021911 |        5.949915 |      227.436991 |      -47.882492 |        5.949915
    3372.0 |      0.000 |      226.049896 |      -43.123355 |        5.939679 |      226.979271 |      -46.995515 |        5.939679
    3373.0 |      0.000 |      225.579022 |      -42.222990 |        5.929606 |      226.517622 |      -46.106755 |        5.929606
    3374.0 |      0.000 |      225.106864 |      -41.327058 |        5.919679 |      226.054701 |      -45.222375 |        5.919679
    3375.0 |      0.000 |      224.631909 |      -40.433716 |        5.909778 |      225.589023 |      -44.340556 |        5.909778
    3376.0 |      0.000 |      224.150963 |      -39.538104 |        5.899877 |      225.117455 |      -43.456502 |        5.899877
    3377.0 |      0.000 |      223.667773 |      -38.648332 |        5.889976 |      224.643669 |      -42.578219 |        5.889976
    3378.0 |      0.000 |      223.181293 |      -37.763227 |        5.880075 |      224.166636 |      -41.704549 |        5.880075
    3379.0 |      0.000 |      222.691127 |      -36.874838 |        5.870174 |      223.685983 |      -40.827638 |        5.870174
    3380.0 |      0.000 |      222.201028 |      -35.986411 |        5.860484 |      223.205396 |      -39.950691 |        5.860484
    3381.0 |      0.000 |      221.710992 |      -35.097950 |        5.851381 |      222.724872 |      -39.073709 |        5.851381
    3382.0 |      0.000 |      221.221017 |      -34.209456 |        5.842871 |      222.244408 |      -38.196695 |        5.842871
    3383.0 |      0.000 |      220.731100 |      -33.320930 |        5.834954 |      221.763999 |      -37.319650 |        5.834954
    3384.0 |      0.000 |      220.241236 |      -32.432376 |        5.827630 |      221.283644 |      -36.442576 |        5.827630
    3385.0 |      0.000 |      219.751422 |      -31.543794 |        5.820899 |      220.803338 |      -35.565475 |        5.820899
