================================================================================
RESULTS SUMMARY
================================================================================

XODR coordinates for (s, t) coordinates on R1:

----------------------------------------------------------------------------------------------------
         s |          t |          XODR X |          XODR Y |          XODR Z |            RD X |            RD Y |            RD Z
----------------------------------------------------------------------------------------------------
       0.0 |      0.000 |      161.393517 |       53.432218 |        5.786000 |      163.540052 |       48.299996 |        5.786000
       1.0 |      0.000 |      160.807909 |       54.259600 |        5.786000 |      162.965381 |       49.116547 |        5.786000
       2.0 |      0.000 |      160.219352 |       55.086773 |        5.786000 |      162.387810 |       49.932887 |        5.786000
       3.0 |      0.000 |      159.629735 |       55.913197 |        5.786000 |      161.809193 |       50.748486 |        5.786000
       4.0 |      0.000 |      159.040063 |       56.739583 |        5.786000 |      161.230523 |       51.564048 |        5.786000
       5.0 |      0.000 |      158.451343 |       57.566641 |        5.786000 |      160.652791 |       52.380274 |        5.786000
       6.0 |      0.000 |      157.864584 |       58.395076 |        5.786000 |      160.076990 |       53.197864 |        5.786000
       7.0 |      0.000 |      157.279589 |       59.224748 |        5.786000 |      159.502927 |       54.016675 |        5.786000
       8.0 |      0.000 |      156.694948 |       60.054665 |        5.786000 |      158.929213 |       54.835730 |        5.786000
       9.0 |      0.000 |      156.110635 |       60.884811 |        5.786000 |      158.355822 |       55.655012 |        5.786000
      10.0 |      0.000 |      155.526641 |       61.715180 |        5.786000 |      157.782746 |       56.474514 |        5.786000
      11.0 |      0.000 |      154.942958 |       62.545765 |        5.786000 |      157.209975 |       57.294229 |        5.786000
      12.0 |      0.000 |      154.359576 |       63.376559 |        5.786000 |      156.637502 |       58.114152 |        5.786000
      13.0 |      0.000 |      153.776486 |       64.207557 |        5.786000 |      156.065316 |       58.934276 |        5.786000
      14.0 |      0.000 |      153.193680 |       65.038752 |        5.786000 |      155.493409 |       59.754595 |        5.786000
      15.0 |      0.000 |      152.611148 |       65.870137 |        5.786000 |      154.921773 |       60.575102 |        5.786000
      16.0 |      0.000 |      152.028881 |       66.701706 |        5.786000 |      154.350398 |       61.395791 |        5.786000
      17.0 |      0.000 |      151.446871 |       67.533453 |        5.786000 |      153.779276 |       62.216656 |        5.786000
      18.0 |      0.000 |      150.865108 |       68.365371 |        5.786000 |      153.208397 |       63.037690 |        5.786000
      19.0 |      0.000 |      150.283582 |       69.197454 |        5.786000 |      152.637753 |       63.858888 |        5.786000
      20.0 |      0.000 |      149.702286 |       70.029695 |        5.786000 |      152.067334 |       64.680242 |        5.786000
      21.0 |      0.000 |      149.121210 |       70.862088 |        5.786000 |      151.497132 |       65.501747 |        5.786000
      22.0 |      0.000 |      148.540345 |       71.694628 |        5.786000 |      150.927138 |       66.323396 |        5.786000
      23.0 |      0.000 |      147.959683 |       72.527307 |        5.786000 |      150.357344 |       67.145183 |        5.786000
      24.0 |      0.000 |      147.379212 |       73.360119 |        5.786000 |      149.787738 |       67.967102 |        5.786000
      25.0 |      0.000 |      146.798926 |       74.193057 |        5.786000 |      149.218314 |       68.789146 |        5.786000
      26.0 |      0.000 |      146.218814 |       75.026117 |        5.786000 |      148.649062 |       69.611309 |        5.786000
      27.0 |      0.000 |      145.638868 |       75.859290 |        5.786000 |      148.079974 |       70.433586 |        5.786000
      28.0 |      0.000 |      145.059078 |       76.692571 |        5.786000 |      147.511039 |       71.255968 |        5.786000
      29.0 |      0.000 |      144.479436 |       77.525954 |        5.786000 |      146.942250 |       72.078452 |        5.786000
      30.0 |      0.000 |      143.899932 |       78.359432 |        5.786000 |      146.373596 |       72.901029 |        5.786000
      31.0 |      0.000 |      143.320557 |       79.192999 |        5.786000 |      145.805071 |       73.723695 |        5.786000
      32.0 |      0.000 |      142.741302 |       80.026649 |        5.786000 |      145.236663 |       74.546442 |        5.786000
      33.0 |      0.000 |      142.162159 |       80.860374 |        5.786000 |      144.668365 |       75.369265 |        5.786000
      34.0 |      0.000 |      141.583117 |       81.694170 |        5.786000 |      144.100167 |       76.192157 |        5.786000
      35.0 |      0.000 |      141.004168 |       82.528030 |        5.786000 |      143.532060 |       77.015113 |        5.786000
      36.0 |      0.000 |      140.425302 |       83.361947 |        5.786000 |      142.964036 |       77.838125 |        5.786000
      37.0 |      0.000 |      139.846511 |       84.195916 |        5.786000 |      142.396086 |       78.661187 |        5.786000
      38.0 |      0.000 |      139.267786 |       85.029929 |        5.786000 |      141.828200 |       79.484295 |        5.786000
      39.0 |      0.000 |      138.689117 |       85.863981 |        5.786000 |      141.260369 |       80.307440 |        5.786000
      40.0 |      0.000 |      138.110495 |       86.698066 |        5.786000 |      140.692585 |       81.130618 |        5.786000
      41.0 |      0.000 |      137.531911 |       87.532176 |        5.786000 |      140.124838 |       81.953821 |        5.786000
      42.0 |      0.000 |      136.953356 |       88.366307 |        5.786000 |      139.557120 |       82.777044 |        5.786000
      43.0 |      0.000 |      136.374821 |       89.200451 |        5.786000 |      138.989421 |       83.600281 |        5.786000
      44.0 |      0.000 |      135.796297 |       90.034602 |        5.786000 |      138.421733 |       84.423524 |        5.786000
      45.0 |      0.000 |      135.217774 |       90.868754 |        5.786000 |      137.854047 |       85.246769 |        5.786000
      46.0 |      0.000 |      134.639244 |       91.702902 |        5.786000 |      137.286353 |       86.070009 |        5.786000
      47.0 |      0.000 |      134.060697 |       92.537037 |        5.786000 |      136.718642 |       86.893237 |        5.786000
      48.0 |      0.000 |      133.482124 |       93.371155 |        5.786000 |      136.150907 |       87.716448 |        5.786000
      49.0 |      0.000 |      132.903516 |       94.205249 |        5.786000 |      135.583136 |       88.539635 |        5.786000
      50.0 |      0.000 |      132.324864 |       95.039313 |        5.786000 |      135.015323 |       89.362792 |        5.786000
      51.0 |      0.000 |      131.746159 |       95.873340 |        5.786000 |      134.447457 |       90.185913 |        5.786000
      52.0 |      0.000 |      131.167392 |       96.707325 |        5.786000 |      133.879530 |       91.008991 |        5.786000
      53.0 |      0.000 |      130.588554 |       97.541260 |        5.786000 |      133.311532 |       91.832021 |        5.786000
      54.0 |      0.000 |      130.009634 |       98.375140 |        5.786000 |      132.743455 |       92.654997 |        5.786000
