x,y,z
236.491084000,-62.844894000,6.200248000
235.982984000,-61.967695000,6.187338000
235.479978000,-61.085960000,6.174428000
234.981757000,-60.200053000,6.161517000
234.489576000,-59.313173000,6.148607000
234.001766000,-58.423286000,6.135697000
233.517855000,-57.530453000,6.122872000
233.038202000,-56.636277000,6.110208000
232.562051000,-55.740295000,6.097706000
232.088938000,-54.842566000,6.085367000
231.618505000,-53.943343000,6.073189000
231.150508000,-53.043093000,6.061173000
230.684703000,-52.142286000,6.049318000
230.220213000,-51.240163000,6.037626000
229.756872000,-50.337335000,6.026096000
229.294880000,-49.435144000,6.014727000
228.833035000,-48.532196000,6.003520000
228.370822000,-47.628437000,5.992475000
227.909106000,-46.726531000,5.981592000
227.446519000,-45.824780000,5.970871000
226.981833000,-44.921789000,5.960312000
226.516773000,-44.021911000,5.949915000
226.049896000,-43.123355000,5.939679000
225.579022000,-42.222990000,5.929606000
225.106864000,-41.327058000,5.919679000
224.631909000,-40.433716000,5.909778000
224.150963000,-39.538104000,5.899877000
223.667773000,-38.648332000,5.889976000
223.181293000,-37.763227000,5.880075000
222.691127000,-36.874838000,5.870174000
222.201028000,-35.986411000,5.860484000
221.710992000,-35.097950000,5.851381000
221.221017000,-34.209456000,5.842871000
220.731100000,-33.320930000,5.834954000
220.241236000,-32.432376000,5.827630000
219.751422000,-31.543794000,5.820899000
219.261655000,-30.655186000,5.814762000
218.771932000,-29.766555000,5.809217000
218.282249000,-28.877902000,5.804266000
217.792603000,-27.989228000,5.799907000
217.302991000,-27.100537000,5.796142000
216.813408000,-26.211829000,5.792970000
216.323853000,-25.323106000,5.790391000
215.834320000,-24.434371000,5.788406000
215.344808000,-23.545624000,5.787013000
214.855312000,-22.656869000,5.786213000
214.365830000,-21.768107000,5.786000000
213.876357000,-20.879339000,5.786000000
213.386891000,-19.990568000,5.786000000
212.897428000,-19.101794000,5.786000000
212.407965000,-18.213022000,5.786000000
211.918499000,-17.324251000,5.786000000
211.429025000,-16.435483000,5.786000000
210.939541000,-15.546722000,5.786000000
210.450051000,-14.657964000,5.786000000
209.958645000,-13.769882000,5.786000000
209.462099000,-12.884906000,5.786000000
208.960466000,-12.003130000,5.786000000
208.453846000,-11.124492000,5.786000000
207.941995000,-10.248346000,5.786000000
207.425190000,-9.374948000,5.786000000
206.903687000,-8.504505000,5.786000000
206.377587000,-7.636951000,5.786000000
205.846867000,-6.772030000,5.786000000
205.311654000,-5.909724000,5.786000000
204.772140000,-5.050122000,5.786000000
204.228424000,-4.193161000,5.786000000
203.680618000,-3.338793000,5.786000000
203.128825000,-2.486959000,5.786000000
202.573130000,-1.637576000,5.786000000
202.013635000,-0.790579000,5.786000000
201.450509000,0.053988000,5.786000000
200.883925000,0.896087000,5.786000000
200.313842000,1.735990000,5.786000000
199.740361000,2.573761000,5.786000000
199.163657000,3.409354000,5.786000000
198.584026000,4.242553000,5.786000000
198.001301000,5.073811000,5.786000000
197.415580000,5.903192000,5.786000000
196.827006000,6.730699000,5.786000000
196.236026000,7.555915000,5.786000000
195.642353000,8.379444000,5.786000000
195.046088000,9.201350000,5.786000000
194.447330000,10.021696000,5.786000000
193.846634000,10.839926000,5.786000000
193.243660000,11.656708000,5.786000000
192.638494000,12.472121000,5.786000000
192.031236000,13.286226000,5.786000000
191.422378000,14.098567000,5.786000000
190.811698000,14.909635000,5.786000000
190.199227000,15.719587000,5.786000000
189.585064000,16.528485000,5.786000000
188.969609000,17.335996000,5.786000000
188.352779000,18.142427000,5.786000000
187.734555000,18.947992000,5.786000000
187.115038000,19.752755000,5.786000000
186.494528000,20.556514000,5.786000000
185.873064000,21.359412000,5.786000000
185.250604000,22.161696000,5.786000000
184.627246000,22.963428000,5.786000000
184.003203000,23.764523000,5.786000000
183.378596000,24.565017000,5.786000000
182.753387000,25.365146000,5.786000000
182.127676000,26.164972000,5.786000000
181.501605000,26.964502000,5.786000000
180.875324000,27.763732000,5.786000000
180.248836000,28.562847000,5.786000000
179.622239000,29.361908000,5.786000000
178.995637000,30.160974000,5.786000000
178.369141000,30.960087000,5.786000000
177.742833000,31.759335000,5.786000000
177.116810000,32.558778000,5.786000000
176.491168000,33.358485000,5.786000000
175.865918000,34.158628000,5.786000000
175.241249000,34.959154000,5.786000000
174.617260000,35.760125000,5.786000000
173.994050000,36.561603000,5.786000000
173.371533000,37.363889000,5.786000000
172.749974000,38.166830000,5.786000000
172.129490000,38.970467000,5.786000000
171.510180000,39.774860000,5.786000000
170.891914000,40.580371000,5.786000000
170.274955000,41.386850000,5.786000000
169.659466000,42.194274000,5.786000000
169.045548000,43.002706000,5.786000000
168.433067000,43.812515000,5.786000000
167.822225000,44.623629000,5.786000000
167.213253000,45.435940000,5.786000000
166.606248000,46.249510000,5.786000000
166.001106000,47.064675000,5.786000000
165.397939000,47.881488000,5.786000000
164.797038000,48.699750000,5.786000000
164.198505000,49.519524000,5.786000000
163.602286000,50.341081000,5.786000000
163.008390000,51.164614000,5.786000000
162.417162000,51.989849000,5.786000000
161.828701000,52.816848000,5.786000000
161.242851000,53.645623000,5.786000000
160.655732000,54.473807000,5.786000000
160.066805000,55.300718000,5.786000000
159.477076000,56.127064000,5.786000000
158.887555000,56.953555000,5.786000000
158.299245000,57.780902000,5.786000000
157.713127000,58.609787000,5.786000000
157.128236000,59.439531000,5.786000000
156.543681000,60.269508000,5.786000000
155.959451000,61.099712000,5.786000000
155.375538000,61.930138000,5.786000000
154.791934000,62.760777000,5.786000000
154.208628000,63.591625000,5.786000000
153.625613000,64.422674000,5.786000000
