t,segment_id,segment_name,speed_mps,cte_m
0.0,44,straight,0.01,0.315
2.5,44,straight,2.26,0.277
5.0,44,straight,21.02,-0.526
7.5,44,straight,35.97,0.427
10.0,44,straight,26.74,-0.149
12.5,44,straight,27.6,-0.237
15.0,44,straight,19.68,-0.117
17.5,44,straight,14.6,4.112
20.0,45,curve,14.89,4.943
22.5,45,curve,14.35,4.758
25.0,45,curve,14.4,5.956
27.5,47,curve,22.93,-0.85
30.0,2,straight,37.79,-0.192
32.5,4,straight,18.97,-0.255
35.0,5,curve,19.24,-5.022
37.5,7,curve,16.57,-2.634
40.0,8,straight,29.99,0.12
42.5,8,straight,35.29,-0.166
45.0,8,straight,16.03,-4.341
47.5,9,curve,14.15,-3.688
50.0,10,straight,13.21,-2.437
52.5,10,straight,29.8,-0.048
55.0,10,straight,41.88,0.04
57.5,12,straight,28.01,-0.14
60.0,12,straight,39.95,0.265
62.5,12,straight,26.66,3.475
65.0,13,curve,15.31,3.488
67.5,14,straight,16.85,1.308
70.0,14,straight,12.96,-0.176
72.5,14,straight,28.61,-0.231
75.0,16,straight,41.45,-0.342
77.5,18,straight,35.23,0.196
80.0,18,straight,12.2,4.569
82.5,19,curve,14.25,0.69
85.0,20,straight,32.24,-0.261
87.5,20,straight,20.87,0.184
90.0,20,straight,29.1,-0.244
92.5,20,straight,39.93,0.6
95.0,22,straight,30.34,-0.169
97.5,26,straight,17.64,-0.752
100.0,26,straight,15.84,-0.371
102.5,27,curve,8.12,10.555
105.0,27,curve,14.6,-1.761
107.5,29,curve,17.2,-2.152
110.0,30,straight,6.76,1.539
112.5,32,straight,17.92,0.342
115.0,32,straight,27.29,0.203
117.5,32,straight,21.25,1.642
120.0,32,straight,18.63,3.922
122.5,34,straight,15.0,0.287
125.0,34,straight,32.89,-0.358
127.5,34,straight,23.84,-0.086
130.0,37,curve,16.75,-4.329
132.5,37,curve,15.89,-2.8
135.0,38,straight,22.62,-0.027
137.5,39,curve,37.59,0.157
140.0,42,straight,28.29,-0.504
142.5,43,curve,7.81,12.02
145.0,43,curve,10.44,3.818
147.5,44,straight,25.82,0.283
150.0,44,straight,13.52,-4.489
