x,y,z
172.520456,53.551322,5.786000
172.042259,54.427858,5.786000
171.569767,55.309191,5.786000
171.097292,56.190535,5.786000
170.624832,57.071889,5.786000
170.152383,57.953249,5.786000
169.679943,58.834611,5.786000
169.207507,59.715976,5.786000
168.735073,60.597343,5.786000
168.262636,61.478709,5.786000
167.790194,62.360072,5.786000
167.317745,63.241428,5.786000
166.845283,64.122780,5.786000
166.372805,65.004123,5.786000
165.900308,65.885457,5.786000
165.427791,66.766778,5.786000
164.955247,67.648085,5.786000
164.482675,68.529377,5.786000
164.010071,69.410653,5.786000
163.537431,70.291909,5.786000
163.064753,71.173144,5.786000
162.592033,72.054357,5.786000
162.119268,72.935546,5.786000
161.646454,73.816708,5.786000
161.173588,74.697843,5.786000
160.700666,75.578947,5.786000
160.227686,76.460021,5.786000
159.754644,77.341061,5.786000
159.281536,78.222065,5.786000
158.808360,79.103033,5.786000
158.335112,79.983962,5.786000
157.861788,80.864851,5.786000
157.388386,81.745697,5.786000
156.914902,82.626500,5.786000
156.441332,83.507256,5.786000
155.967674,84.387964,5.786000
155.493923,85.268623,5.786000
155.020077,86.149232,5.786000
154.546133,87.029786,5.786000
154.072087,87.910286,5.786000
153.597935,88.790728,5.786000
153.123675,89.671113,5.786000
152.649302,90.551438,5.786000
152.174815,91.431700,5.786000
151.700208,92.311897,5.786000
151.225480,93.192029,5.786000
150.750626,94.072094,5.786000
150.275644,94.952090,5.786000
149.800530,95.832013,5.786000
149.325281,96.711863,5.786000
148.849893,97.591640,5.786000
148.374363,98.471340,5.786000
147.898688,99.350960,5.786000
147.422864,100.230500,5.786000
146.946888,101.109959,5.786000
146.470757,101.989333,5.786000
145.994468,102.868622,5.786000
145.518018,103.747822,5.786000
145.041401,104.626933,5.786000
144.564617,105.505953,5.786000
144.087660,106.384880,5.786000
143.610529,107.263711,5.786000
143.133219,108.142445,5.786000
142.655728,109.021082,5.786000
142.178051,109.899618,5.786000
141.700186,110.778051,5.786000
141.222130,111.656379,5.786000
140.743879,112.534602,5.786000
140.265429,113.412718,5.786000
139.786778,114.290723,5.786000
139.307922,115.168616,5.786000
138.828859,116.046395,5.786000
138.349583,116.924060,5.786000
137.870093,117.801607,5.786000
137.390385,118.679035,5.786000
136.910456,119.556342,5.786000
136.430302,120.433526,5.785872
135.949920,121.310585,5.785490
135.469307,122.187518,5.784852
134.988459,123.064322,5.783960
134.507374,123.940996,5.782812
134.026048,124.817537,5.781410
133.544477,125.693944,5.779752
133.062659,126.570216,5.777839
132.580589,127.446349,5.775672
132.098266,128.322342,5.773249
131.615686,129.198193,5.770571
131.132844,130.073902,5.767638
130.649738,130.949465,5.764451
130.165445,131.824334,5.761008
129.676568,132.698872,5.757310
129.181703,133.570990,5.753357
128.679305,134.439183,5.749149
128.168252,135.301417,5.744686
127.647679,136.155368,5.739968
127.114439,137.002378,5.734995
126.567318,137.840399,5.729767
126.005070,138.667297,5.724284
