x,y,z
161.393517,53.432218,5.786000
160.807909,54.259600,5.786000
160.219352,55.086773,5.786000
159.629735,55.913197,5.786000
159.040063,56.739583,5.786000
158.451343,57.566641,5.786000
157.864584,58.395076,5.786000
157.279589,59.224748,5.786000
156.694948,60.054665,5.786000
156.110635,60.884811,5.786000
155.526641,61.715180,5.786000
154.942958,62.545765,5.786000
154.359576,63.376559,5.786000
153.776486,64.207557,5.786000
153.193680,65.038752,5.786000
152.611148,65.870137,5.786000
152.028881,66.701706,5.786000
151.446871,67.533453,5.786000
150.865108,68.365371,5.786000
150.283582,69.197454,5.786000
149.702286,70.029695,5.786000
149.121210,70.862088,5.786000
148.540345,71.694628,5.786000
147.959683,72.527307,5.786000
147.379212,73.360119,5.786000
146.798926,74.193057,5.786000
146.218814,75.026117,5.786000
145.638868,75.859290,5.786000
145.059078,76.692571,5.786000
144.479436,77.525954,5.786000
143.899932,78.359432,5.786000
143.320557,79.192999,5.786000
142.741302,80.026649,5.786000
142.162159,80.860374,5.786000
141.583117,81.694170,5.786000
141.004168,82.528030,5.786000
140.425302,83.361947,5.786000
139.846511,84.195916,5.786000
139.267786,85.029929,5.786000
138.689117,85.863981,5.786000
138.110495,86.698066,5.786000
137.531911,87.532176,5.786000
136.953356,88.366307,5.786000
136.374821,89.200451,5.786000
135.796297,90.034602,5.786000
135.217774,90.868754,5.786000
134.639244,91.702902,5.786000
134.060697,92.537037,5.786000
133.482124,93.371155,5.786000
132.903516,94.205249,5.786000
132.324864,95.039313,5.786000
131.746159,95.873340,5.786000
131.167392,96.707325,5.786000
130.588554,97.541260,5.786000
130.009634,98.375140,5.786000
129.430626,99.208958,5.786000
128.851518,100.042709,5.786000
128.272303,100.876385,5.786000
127.693781,101.710773,5.786000
127.136004,102.558158,5.786000
126.605822,103.423419,5.786000
126.102844,104.304523,5.786000
125.626173,105.200027,5.786000
125.174801,106.108566,5.786000
124.747639,107.028824,5.786000
124.343652,107.959271,5.786000
123.961640,108.898664,5.786000
123.600229,109.846198,5.786000
123.258128,110.800922,5.786000
122.934043,111.761941,5.785995
122.626738,112.728242,5.785595
122.334932,113.698992,5.784561
122.057213,114.673918,5.782893
121.792308,115.652397,5.780591
121.538962,116.633839,5.777655
121.295930,117.617689,5.774085
121.061918,118.603677,5.769880
120.835675,119.591441,5.765041
120.615980,120.580536,5.759568
120.401610,121.570531,5.753461
120.191283,122.561283,5.746720
119.983639,123.552984,5.739344
119.777515,124.544821,5.731334
119.560618,125.531854,5.722690
119.250894,126.503644,5.713412
118.854490,127.437738,5.703500
118.383465,128.338635,5.692954
117.847661,129.203157,5.681773
117.253798,130.028090,5.669958
116.605832,130.810208,5.657509
115.905329,131.545640,5.644426
115.153561,132.227536,5.630708
114.351134,132.846633,5.616357
113.494915,133.392535,5.601371
112.587719,133.846415,5.585751
111.634228,134.185227,5.569497
110.639088,134.381872,5.552609
109.626157,134.404488,5.535086
108.624869,134.231157,5.516929
107.662847,133.918783,5.498139
106.739651,133.503736,5.478714
105.863866,132.995086,5.458654
105.039953,132.405221,5.438201
104.268431,131.747640,5.417742
103.546790,131.035242,5.397283
102.870598,130.279366,5.376825
102.234432,129.489483,5.356366
101.632536,128.673298,5.335962
101.059191,127.837028,5.315823
100.508903,126.985727,5.295969
99.976450,126.123580,5.276401
99.456853,125.254154,5.257119
98.945304,124.380602,5.238122
98.437019,123.505740,5.219410
97.926997,122.631989,5.200984
97.410376,121.762373,5.182844
96.882001,120.900189,5.164989
96.336325,120.049265,5.147419
95.767268,119.214236,5.130135
95.178521,118.393527,5.113137
94.587538,117.571561,5.096424
93.996402,116.749704,5.079996
93.405112,115.927956,5.063854
92.813672,115.106316,5.047997
92.222081,114.284783,5.032426
91.630341,113.463355,5.017141
91.038454,112.642032,5.002141
90.446421,111.820814,4.987426
89.854243,110.999698,4.972997
89.261922,110.178685,4.958858
88.669458,109.357772,4.945013
88.076853,108.536960,4.931465
87.484108,107.716248,4.918212
86.891225,106.895634,4.905255
86.298210,106.075124,4.892593
85.705061,105.254713,4.880227
85.111777,104.434398,4.868157
84.518359,103.614178,4.856383
83.924810,102.794051,4.844904
83.331131,101.974018,4.833721
82.737322,101.154076,4.822833
82.143385,100.334226,4.812241
81.549321,99.514466,4.801945
80.955132,98.694795,4.791945
80.360818,97.875212,4.782240
79.766382,97.055717,4.772831
79.171824,96.236308,4.763717
78.577146,95.416985,4.754900
77.982349,94.597747,4.746377
77.387441,93.778601,4.738151
76.792418,92.959541,4.730219
76.197280,92.140562,4.722470
75.602029,91.321665,4.714827
75.006665,90.502848,4.707289
74.411190,89.684110,4.699856
73.815605,88.865450,4.692530
73.219911,88.046868,4.685308
72.624110,87.228362,4.678193
72.028203,86.409931,4.671183
71.432191,85.591575,4.664279
70.836076,84.773292,4.657480
70.239859,83.955083,4.650787
69.643541,83.136945,4.644199
69.047123,82.318878,4.637717
68.450613,81.500889,4.631341
67.854010,80.682974,4.625070
67.257310,79.865126,4.618905
66.660516,79.047346,4.612845
66.063629,78.229631,4.606891
65.466651,77.411983,4.601043
64.869582,76.594398,4.595300
64.272423,75.776878,4.589663
63.675177,74.959419,4.584123
63.077844,74.142023,4.578572
62.480426,73.324687,4.572980
61.882924,72.507411,4.567345
61.285340,71.690194,4.561668
60.687674,70.873035,4.555949
60.089927,70.055933,4.550188
59.492108,69.238895,4.544384
58.894214,68.421916,4.538538
58.296243,67.604991,4.532650
57.698198,66.788120,4.526720
57.100079,65.971301,4.520747
56.501888,65.154533,4.514733
55.903626,64.337817,4.508676
55.305294,63.521150,4.502576
54.706893,62.704532,4.496435
54.108426,61.887961,4.490251
53.509892,61.071438,4.484025
52.911294,60.254961,4.477757
52.312633,59.438529,4.471446
51.713910,58.622141,4.465093
51.115126,57.805796,4.458698
50.516287,56.989500,4.452219
49.917392,56.173248,4.445466
49.318441,55.357037,4.438417
48.719434,54.540866,4.431072
48.120373,53.724733,4.423432
47.521259,52.908638,4.415496
46.922094,52.092580,4.407265
46.322878,51.276558,4.398737
45.723613,50.460571,4.389915
45.124301,49.644618,4.380796
44.524942,48.828698,4.371382
43.925537,48.012810,4.361672
43.326090,47.196954,4.351667
42.726599,46.381128,4.341365
42.127067,45.565331,4.330768
41.527499,44.749567,4.319876
40.927893,43.933833,4.308688
40.328250,43.118126,4.297204
39.728571,42.302445,4.285424
39.128857,41.486788,4.273349
38.529109,40.671156,4.260978
37.929330,39.855546,4.248311
37.329519,39.039959,4.235470
36.729679,38.224393,4.222686
36.129811,37.408847,4.209965
35.529915,36.593321,4.197308
34.929994,35.777813,4.184714
34.330049,34.962322,4.172183
33.730081,34.146848,4.159716
33.130090,33.331390,4.147312
32.530080,32.515948,4.134972
31.930052,31.700521,4.122695
31.330006,30.885107,4.110481
30.729943,30.069705,4.098330
30.129865,29.254314,4.086243
29.529773,28.438934,4.074220
28.929668,27.623562,4.062259
28.329551,26.808199,4.050362
27.729425,25.992843,4.038529
27.129290,25.177494,4.026758
26.529147,24.362150,4.015051
25.928997,23.546812,4.003408
25.328843,22.731476,3.991828
24.728685,21.916144,3.980311
24.128525,21.100814,3.968940
23.528363,20.285483,3.957781
22.928201,19.470152,3.946833
22.328040,18.654820,3.936095
21.727882,17.839487,3.925569
21.127728,17.024150,3.915255
20.527579,16.208811,3.905151
19.927437,15.393466,3.895259
19.327303,14.578116,3.885578
18.727179,13.762760,3.876108
18.127065,12.947397,3.866849
17.526962,12.132025,3.857801
16.926873,11.316644,3.848965
16.326799,10.501253,3.840340
15.726740,9.685851,3.831926
15.126698,8.870438,3.823723
14.526672,8.055008,3.815732
13.926664,7.239562,3.807951
13.326677,6.424101,3.800382
12.726712,5.608625,3.793024
12.126771,4.793133,3.785877
11.526854,3.977623,3.778933
10.926964,3.162094,3.772056
10.327101,2.346547,3.765201
9.727267,1.530979,3.758367
9.127462,0.715390,3.751554
8.527689,-0.100221,3.744762
7.927949,-0.915854,3.737991
7.328242,-1.731512,3.731241
6.728571,-2.547194,3.724512
6.128936,-3.362902,3.717805
5.529335,-4.178642,3.711118
4.929770,-4.994413,3.704453
4.330245,-5.810214,3.697809
3.730762,-6.626043,3.691186
3.131322,-7.441903,3.684584
2.531926,-8.257794,3.678003
1.932576,-9.073717,3.671443
1.333272,-9.889673,3.664905
0.734017,-10.705663,3.658387
0.134811,-11.521688,3.651891
-0.464345,-12.337748,3.645416
-1.063448,-13.153846,3.638962
-1.662498,-13.969981,3.632560
-2.261493,-14.786154,3.626367
-2.860433,-15.602367,3.620407
-3.459319,-16.418627,3.614680
-4.058153,-17.234934,3.609185
-4.656926,-18.051284,3.603922
-5.255638,-18.867677,3.598891
-5.854288,-19.684114,3.594093
-6.452875,-20.500596,3.589527
-7.051396,-21.317124,3.585193
-7.649851,-22.133698,3.581092
-8.248238,-22.950321,3.577222
-8.846557,-23.766992,3.573586
-9.444805,-24.583713,3.570181
-10.042982,-25.400484,3.567009
-10.641087,-26.217307,3.564069
-11.239117,-27.034181,3.561362
-11.837072,-27.851110,3.558887
-12.434955,-28.668099,3.556644
-13.032767,-29.485152,3.554633
-13.630499,-30.302261,3.552855
-14.228151,-31.119426,3.551309
-14.825721,-31.936650,3.550066
-15.423208,-32.753932,3.549282
-16.020610,-33.571274,3.548963
-16.617927,-34.388677,3.549108
-17.215157,-35.206141,3.549718
-17.812298,-36.023668,3.550792
-18.409350,-36.841258,3.552332
-19.006311,-37.658913,3.554335
-19.603180,-38.476632,3.556804
-20.199955,-39.294418,3.559737
-20.796636,-40.112271,3.563135
-21.393225,-40.930198,3.566997
-21.989725,-41.748205,3.571324
-22.586125,-42.566281,3.576116
-23.182426,-43.384427,3.581372
-23.778625,-44.202646,3.587093
-24.374722,-45.020937,3.593278
-24.970715,-45.839301,3.599928
-25.566603,-46.657740,3.607043
-26.162384,-47.476254,3.614622
-26.758058,-48.294845,3.622666
-27.353623,-49.113513,3.631175
-27.949077,-49.932258,3.640170
-28.544420,-50.751083,3.649672
-29.139650,-51.569988,3.659681
-29.734765,-52.388973,3.670197
-30.329770,-53.208047,3.681219
-30.924665,-54.027214,3.692749
-31.519442,-54.846464,3.704785
-32.114100,-55.665798,3.717328
-32.708637,-56.485218,3.730379
-33.303052,-57.304724,3.743936
-33.897344,-58.124318,3.757999
-34.491511,-58.944000,3.772570
-35.085552,-59.763771,3.787648
-35.679466,-60.583632,3.803232
-36.273252,-61.403584,3.819324
-36.866908,-62.223628,3.835922
-37.460433,-63.043764,3.853027
-38.053825,-63.863995,3.870639
-38.647084,-64.684320,3.888757
-39.240212,-65.504746,3.907383
-39.833210,-66.325277,3.926516
-40.426071,-67.145906,3.946157
-41.018792,-67.966633,3.966352
-41.611374,-68.787460,3.987116
-42.203814,-69.608386,4.008451
-42.796112,-70.429414,4.030356
-43.388265,-71.250544,4.052831
-43.980273,-72.071776,4.075877
-44.572135,-72.893113,4.099493
-45.163848,-73.714554,4.123679
-45.755413,-74.536101,4.148435
-46.346827,-75.357755,4.173761
-46.938089,-76.179516,4.199658
-47.529198,-77.001385,4.226125
-48.120155,-77.823368,4.253162
-48.710961,-78.645467,4.280769
-49.301611,-79.467678,4.308947
-49.892102,-80.290000,4.337695
-50.482433,-81.112436,4.367012
-51.072604,-81.934986,4.396901
-51.662612,-82.757650,4.427359
-52.252457,-83.580431,4.458388
-52.842138,-84.403328,4.489987
-53.431652,-85.226343,4.522095
-54.020999,-86.049476,4.554349
-54.610177,-86.872729,4.586687
-55.199186,-87.696102,4.619109
-55.788023,-88.519597,4.651616
-56.376687,-89.343214,4.684208
-56.965179,-90.166955,4.716884
-57.553497,-90.990823,4.749644
-58.141639,-91.814816,4.782489
-58.729603,-92.638934,4.815419
-59.317388,-93.463180,4.848433
-59.904993,-94.287553,4.881531
-60.492416,-95.112055,4.914714
-61.079657,-95.936686,4.947981
-61.666713,-96.761449,4.981333
-62.253584,-97.586342,5.014769
-62.840268,-98.411368,5.048290
-63.426763,-99.236527,5.081895
-64.013070,-100.061821,5.115585
-64.599186,-100.887249,5.149359
-65.185110,-101.712814,5.183218
-65.770839,-102.538514,5.217161
-66.356371,-103.364347,5.251322
-66.941707,-104.190320,5.286036
-67.526846,-105.016432,5.321321
-68.111787,-105.842685,5.357176
-68.696528,-106.669079,5.393601
-69.281067,-107.495616,5.430596
-69.865405,-108.322297,5.468162
-70.449539,-109.149121,5.506297
-71.033468,-109.976091,5.545003
-71.617191,-110.803207,5.584280
-72.200706,-111.630470,5.624126
-72.784012,-112.457881,5.664543
-73.367109,-113.285441,5.705530
-73.949994,-114.113151,5.747087
-74.532663,-114.941007,5.789214
-75.115108,-115.769001,5.831912
-75.697338,-116.597148,5.875179
-76.279352,-117.425448,5.919017
-76.861148,-118.253903,5.963426
-77.442725,-119.082513,6.008404
-78.024081,-119.911280,6.053953
-78.605216,-120.740203,6.100072
-79.186127,-121.569285,6.146538
-79.766814,-122.398526,6.193110
-80.347276,-123.227926,6.239787
-80.927511,-124.057488,6.286570
-81.507517,-124.887211,6.333458
-82.087294,-125.717098,6.380452
-82.666840,-126.547147,6.427552
-83.246136,-127.377643,6.474757
-83.821890,-128.211047,6.522068
-84.392232,-129.047573,6.569485
-84.957244,-129.887174,6.617007
-85.517008,-130.729802,6.664635
-86.071607,-131.575411,6.712368
-86.621824,-132.425042,6.760207
-87.167276,-133.277957,6.808151
-87.707794,-134.133722,6.856201
-88.243459,-134.992288,6.904357
-88.774356,-135.853610,6.952618
-89.300653,-136.717782,7.000985
-89.822613,-137.585063,7.049458
-90.340046,-138.454961,7.098036
-90.853036,-139.327428,7.146731
-91.361666,-140.202416,7.195855
-91.866019,-141.079880,7.245549
-92.366128,-141.959683,7.295813
-92.862110,-142.841837,7.346647
-93.354066,-143.726323,7.398052
-93.842077,-144.613094,7.450027
-94.326227,-145.502102,7.502572
-94.806509,-146.393132,7.555687
-95.282844,-147.285828,7.609373
-95.755572,-148.180617,7.663629
-96.224777,-149.077451,7.718455
-96.690539,-149.976282,7.773851
-97.152944,-150.877064,7.829818
-97.611685,-151.778985,7.886354
-98.067121,-152.682524,7.943461
-98.519453,-153.587867,8.001138
-98.968764,-154.494969,8.059386
-99.415137,-155.403781,8.118203
-99.858501,-156.313942,8.177591
-100.298668,-157.224833,8.237549
-100.736151,-158.137290,8.298078
-101.171033,-159.051266,8.359100
-101.603395,-159.966713,8.420080
-102.033320,-160.883585,8.480911
-102.460449,-161.800883,8.541595
-102.885166,-162.719200,8.602131
-103.307699,-163.638797,8.662519
-103.728129,-164.559628,8.722759
-104.146539,-165.481647,8.782851
-104.562880,-166.404519,8.842796
-104.976954,-167.327565,8.902593
-105.389257,-168.251656,8.962242
-105.799871,-169.176745,9.021743
-106.208878,-170.102786,9.081096
-106.616358,-171.029732,9.140301
-107.022066,-171.956784,9.199359
-107.426281,-172.884345,9.258268
-107.829218,-173.812670,9.317030
-108.230958,-174.741713,9.375644
-108.631582,-175.671427,9.434110
-109.031106,-176.601613,9.492429
-109.429387,-177.531703,9.550599
-109.826799,-178.462324,9.608622
-110.223420,-179.393430,9.666305
-110.619333,-180.324975,9.723095
-111.014619,-181.256913,9.778955
-111.409207,-182.188839,9.833886
-111.803249,-183.120873,9.887887
-112.196907,-184.053161,9.940959
-112.590261,-184.985656,9.993102
-112.983394,-185.918312,10.044316
-113.376375,-186.851056,10.094601
-113.769204,-187.783654,10.143956
-114.162053,-188.716274,10.192382
-114.555005,-189.648871,10.239879
-114.948139,-190.581399,10.286446
-115.341536,-191.513811,10.332085
-115.735294,-192.446102,10.376793
-116.129490,-193.378215,10.420573
-116.524191,-194.310073,10.463424
-116.919480,-195.241632,10.505345
-117.315436,-196.172845,10.546337
-117.712146,-197.103678,10.586400
-118.109837,-198.034426,10.625533
-118.508439,-198.964689,10.663737
-118.908033,-199.894421,10.701040
-119.308701,-200.823576,10.737477
-119.710522,-201.752107,10.773048
-120.113713,-202.680279,10.807753
-120.518358,-203.608048,10.841593
-120.924402,-204.535053,10.874566
-121.331925,-205.461250,10.906673
-121.741011,-206.386591,10.937915
-122.151738,-207.311030,10.968291
-122.564543,-208.235311,10.997800
-122.979168,-209.158625,11.026444
-123.395683,-210.080897,11.054222
-123.814169,-211.002079,11.081134
-124.234706,-211.922127,11.107180
-124.657565,-212.841399,11.132361
-125.082884,-213.759967,11.156675
-125.510504,-214.677258,11.180124
-125.940507,-215.593226,11.202706
-126.372973,-216.507823,11.224423
-126.807985,-217.421003,11.245274
-127.246038,-218.333579,11.265259
-127.686845,-219.244723,11.284385
-128.130448,-220.154308,11.302954
-128.576930,-221.062286,11.321122
-129.026371,-221.968611,11.338888
-129.479020,-222.873566,11.356254
-129.935048,-223.777273,11.373218
-130.394289,-224.679184,11.389780
-130.856823,-225.579252,11.405942
-131.322733,-226.477430,11.421702
-131.792100,-227.373671,11.437061
-132.262597,-228.267784,11.452018
-132.732411,-229.163140,11.466575
-133.201565,-230.059951,11.480730
-133.670004,-230.958209,11.494484
-134.137673,-231.857905,11.507836
-134.604517,-232.759031,11.520788
-135.068277,-233.657299,11.533338
-135.530925,-234.556601,11.545486
-135.992596,-235.457294,11.557234
-136.453236,-236.359370,11.568580
-136.912791,-237.262820,11.579525
-137.371209,-238.167638,11.590069
-137.826704,-239.070376,11.600196
-138.280829,-239.974187,11.609782
-138.733666,-240.879330,11.618797
-139.185162,-241.785796,11.627242
-139.635264,-242.693577,11.635117
-140.083919,-243.602665,11.642422
-140.529822,-244.510498,11.649157
-140.974058,-245.419361,11.655321
-141.416697,-246.329500,11.660915
-141.857688,-247.240906,11.665939
-142.296978,-248.153572,11.670393
-142.734514,-249.067489,11.674276
-143.169432,-249.980939,11.677589
-143.602382,-250.895372,11.680332
-144.033429,-251.811028,11.682505
-144.462520,-252.727897,11.684108
-144.889605,-253.645973,11.685140
-145.314630,-254.565248,11.685602
-145.737107,-255.484758,11.685494
-146.157331,-256.405245,11.684816
-146.575345,-257.326903,11.683567
-146.991097,-258.249725,11.681748
-147.404535,-259.173704,11.679352
-147.815606,-260.098830,11.676354
-148.224119,-261.024779,11.672753
-148.630122,-261.951762,11.668548
-149.033605,-262.879869,11.663739
-149.434515,-263.809091,11.658327
-149.832802,-264.739422,11.652312
-150.228414,-265.670852,11.645693
-150.621376,-266.603563,11.638470
-151.011591,-267.537437,11.630644
-151.398973,-268.472388,11.622215
-151.783470,-269.408408,11.613182
-152.165029,-270.345489,11.603545
-152.543600,-271.283624,11.593305
-152.919357,-272.223375,11.582461
-153.292139,-273.164474,11.571014
-153.661770,-274.106605,11.558963
-154.028198,-275.049759,11.546309
-154.391371,-275.993929,11.533051
-154.751237,-276.939107,11.519190
-155.108060,-277.886129,11.504725
-155.461677,-278.834715,11.489657
-155.811819,-279.784289,11.474230
-156.158436,-280.734843,11.458799
-156.501473,-281.686367,11.443369
-156.840880,-282.638854,11.427938
-157.176963,-283.593325,11.412508
-157.509589,-284.549577,11.397077
-157.838412,-285.506773,11.381647
-158.163380,-286.464903,11.366217
-158.484439,-287.423961,11.350786
-158.801537,-288.383937,11.335356
-159.114992,-289.345972,11.319925
-159.424708,-290.309968,11.304495
-159.730285,-291.274862,11.289064
-160.031672,-292.240648,11.273634
-160.328814,-293.207316,11.258204
-160.621659,-294.174860,11.242650
-160.910514,-295.144492,11.226642
-161.195306,-296.116191,11.210160
-161.475619,-297.088745,11.193205
-161.751400,-298.062146,11.175776
-162.022595,-299.036386,11.157874
-162.289151,-300.011458,11.139498
-162.551349,-300.988611,11.120648
-162.809117,-301.967839,11.101325
-163.062061,-302.947878,11.081528
-163.310126,-303.928720,11.061258
-163.553260,-304.910357,11.040514
-163.791408,-305.892779,11.019297
-164.024812,-306.877240,10.997606
-164.253383,-307.863670,10.975441
-164.476781,-308.850866,10.952803
-164.694952,-309.838819,10.929691
-164.907841,-310.827521,10.906106
-165.115394,-311.816965,10.882047
-165.317799,-312.808345,10.857515
-165.514948,-313.801476,10.832509
-165.706572,-314.795326,10.807029
-165.892619,-315.789888,10.781197
-166.073032,-316.785152,10.755153
-166.247759,-317.781111,10.728898
-166.416919,-318.778811,10.702432
-166.580392,-319.777950,10.675755
-166.737992,-320.777762,10.648867
-166.889665,-321.778237,10.621767
-167.035356,-322.779368,10.594456
-167.175009,-323.781146,10.566934
-167.308668,-324.784321,10.539201
-167.436226,-325.788567,10.511257
-167.557566,-326.793437,10.483101
-167.672635,-327.798923,10.454734
-167.781376,-328.805015,10.426156
-167.883735,-329.811707,10.397367
-167.979680,-330.819241,10.368367
-168.069139,-331.827471,10.339155
-168.152045,-332.836276,10.309733
-168.228344,-333.845645,10.280099
-168.297980,-334.855573,10.250253
-168.360899,-335.866049,10.220197
-168.417017,-336.876537,10.189922
-168.466306,-337.887384,10.159162
-168.508721,-338.898753,10.127790
-168.544207,-339.910638,10.095805
-168.572710,-340.923029,10.063208
-168.594174,-341.935918,10.029999
-168.610536,-342.948113,9.996177
-168.625792,-343.960204,9.961743
-168.640051,-344.972433,9.926696
-168.653309,-345.984796,9.891036
-168.665559,-346.997290,9.854765
-168.676797,-348.009911,9.817880
-168.687017,-349.022657,9.780384
-168.696215,-350.035523,9.742275
-168.704379,-351.047809,9.703553
-168.711509,-352.060051,9.664219
-168.717603,-353.072403,9.624272
-168.722654,-354.084861,9.583713
-168.726657,-355.097423,9.542542
-168.729608,-356.110085,9.500758
-168.731500,-357.122844,9.458361
-168.732329,-358.135695,9.415352
-168.732089,-359.148065,9.371723
-168.730777,-360.160390,9.327410
-168.728387,-361.172799,9.282400
-168.724913,-362.185286,9.236693
-168.720352,-363.197850,9.190288
-168.714696,-364.210486,9.143188
-168.707942,-365.223191,9.095390
-168.700083,-366.235962,9.046895
-168.691119,-367.248345,8.997703
-168.681042,-368.260680,8.947814
-168.669847,-369.273071,8.897228
-168.657527,-370.285513,8.845946
-168.644078,-371.298004,8.793966
-168.629494,-372.310540,8.741290
-168.613771,-373.323118,8.687916
-168.596902,-374.335734,8.633846
-168.578889,-375.348050,8.579079
-168.559723,-376.360312,8.523614
-168.539396,-377.372603,8.467453
-168.517905,-378.384918,8.410595
-168.495243,-379.397254,8.353040
-168.471405,-380.409608,8.294788
-168.446386,-381.421976,8.236044
-168.420181,-382.434355,8.177445
-168.392791,-383.446513,8.119036
-168.364206,-384.458611,8.060816
-168.334420,-385.470710,8.002787
-168.303427,-386.482806,7.944948
-168.271222,-387.494897,7.887300
-168.237800,-388.506977,7.829841
-168.203156,-389.519045,7.772572
-168.167284,-390.531097,7.715493
-168.130185,-391.542995,7.658605
-168.091849,-392.554828,7.601906
-168.052270,-393.566635,7.545398
-168.011443,-394.578413,7.489080
-167.969362,-395.590157,7.432951
-167.926023,-396.601864,7.377013
-167.881419,-397.613531,7.321265
-167.835547,-398.625155,7.265707
-167.788402,-399.636681,7.210339
-167.739979,-400.648140,7.155161
-167.690271,-401.659545,7.100173
-167.639272,-402.670892,7.045376
-167.586979,-403.682180,6.990813
-167.533385,-404.693403,6.936545
-167.478485,-405.704560,6.882573
-167.422274,-406.715645,6.828897
-167.364745,-407.726678,6.775516
-167.305895,-408.737641,6.722431
-167.245717,-409.748523,6.669642
-167.184208,-410.759321,6.617148
-167.121361,-411.770031,6.564950
-167.057171,-412.780650,6.513048
-166.991634,-413.791174,6.461441
-166.924743,-414.801601,6.410130
-166.856488,-415.812008,6.359115
-166.786868,-416.822343,6.308396
-166.715878,-417.832570,6.257972
-166.643513,-418.842686,6.207844
-166.569769,-419.852687,6.158011
-166.494640,-420.862569,6.108474
-166.418120,-421.872330,6.059233
-166.340206,-422.881966,6.010287
-166.260880,-423.891604,5.961637
-166.180143,-424.901169,5.913281
-166.097994,-425.910598,5.865097
-166.014428,-426.919888,5.817018
-165.929440,-427.929036,5.769046
-165.843025,-428.938039,5.721178
-165.755176,-429.946892,5.673417
-165.665890,-430.955593,5.625761
-165.575145,-431.964309,5.578210
-165.482943,-432.972947,5.530766
-165.389287,-433.981423,5.483426
-165.294171,-434.989732,5.436193
-165.197590,-435.997871,5.389065
-165.099539,-437.005838,5.342042
-165.000012,-438.013628,5.295126
-164.899004,-439.021239,5.248314
-164.796490,-440.028867,5.201609
-164.692473,-441.036411,5.155009
-164.586958,-442.043764,5.108514
-164.479941,-443.050923,5.062125
-164.371416,-444.057886,5.015842
-164.261377,-445.064648,4.969665
-164.149820,-446.071207,4.923593
-164.036739,-447.077558,4.877643
-163.922104,-448.083922,4.831972
-163.805920,-449.090189,4.786618
-163.688195,-450.096238,4.741581
-163.568924,-451.102067,4.696861
-163.448102,-452.107671,4.652457
-163.325724,-453.113047,4.608370
-163.201783,-454.118192,4.564600
-163.076276,-455.123103,4.521147
-162.949167,-456.128011,4.478011
-162.820462,-457.132806,4.435191
-162.690174,-458.137356,4.392688
-162.558296,-459.141658,4.350502
-162.424824,-460.145708,4.308633
-162.289752,-461.149503,4.267080
