x,y,z
-138.709300,-234.534300,0.000000
-138.951900,-235.090000,0.000000
-139.197000,-235.649800,0.000000
-139.444700,-236.214000,0.000000
-139.694900,-236.782400,0.000000
-139.947700,-237.355000,0.000000
-140.203000,-237.931800,0.000000
-140.460500,-238.512800,0.000000
-140.720200,-239.098700,0.000000
-140.982100,-239.689500,0.000000
-141.246100,-240.285200,0.000000
-141.512300,-240.885800,0.000000
-141.780600,-241.491200,0.000000
-142.051000,-242.101600,0.000000
-142.322900,-242.715700,0.000000
-142.596400,-243.333600,0.000000
-142.871900,-243.956500,0.000000
-143.149400,-244.584300,0.000000
-143.428900,-245.217000,0.000000
-143.710400,-245.854700,0.000000
-143.993700,-246.497300,0.000000
-144.278700,-247.144300,0.000000
-144.564900,-247.795000,0.000000
-144.853000,-248.450600,0.000000
-145.142900,-249.111200,0.000000
-145.434500,-249.776700,0.000000
-145.727800,-250.447200,0.000000
-146.022800,-251.122800,0.000000
-146.319200,-251.802800,0.000000
-146.616800,-252.486800,0.000000
-146.915900,-253.175900,0.000000
-147.216600,-253.870000,0.000000
-147.518700,-254.569100,0.000000
-147.822300,-255.273200,0.000000
-148.127200,-255.982400,0.000000
-148.433200,-256.695900,0.000000
-148.740300,-257.414200,0.000000
-149.048700,-258.137500,0.000000
-149.358200,-258.865900,0.000000
-149.668900,-259.599400,0.000000
-149.980700,-260.338000,0.000000
-150.293400,-261.081500,0.000000
-150.606900,-261.829700,0.000000
-150.921300,-262.583100,0.000000
-151.236500,-263.341600,0.000000
-151.552600,-264.105200,0.000000
-151.869300,-264.874000,0.000000
-152.186700,-265.647900,0.000000
-152.504700,-266.426900,0.000000
-152.823100,-267.211100,0.000000
-153.142000,-268.000500,0.000000
-153.461300,-268.795100,0.000000
-153.780900,-269.594900,0.000000
-154.100700,-270.400000,0.000000
-154.420800,-271.210600,0.000000
-154.740900,-272.026500,0.000000
-155.061000,-272.847600,0.000000
-155.381100,-273.674000,0.000000
-155.700900,-274.505700,0.000000
-156.020600,-275.343200,0.000000
-156.340000,-276.186200,0.000000
-156.659100,-277.034600,0.000000
-156.977500,-277.888400,0.000000
-157.295300,-278.747500,0.000000
