x,y,z
60.236900,59.597100,0.000000
59.907500,59.146600,0.000000
59.578100,58.695900,0.000000
59.248600,58.245200,0.000000
58.918900,57.794400,0.000000
58.589300,57.343600,0.000000
58.259500,56.892700,0.000000
57.929700,56.441800,0.000000
57.599900,55.990900,0.000000
57.270000,55.539900,0.000000
56.940100,55.089000,0.000000
56.610200,54.638100,0.000000
56.280200,54.187200,0.000000
55.950300,53.736200,0.000000
55.620300,53.285300,0.000000
55.290200,52.834400,0.000000
54.960200,52.383500,0.000000
54.630100,51.932600,0.000000
54.300000,51.481800,0.000000
53.969900,51.030900,0.000000
53.639800,50.580000,0.000000
53.309700,50.129200,0.000000
52.979500,49.678400,0.000000
52.649300,49.227600,0.000000
52.319100,48.776700,0.000000
51.988900,48.326000,0.000000
51.658700,47.875200,0.000000
51.328400,47.424400,0.000000
50.998200,46.973600,0.000000
50.667900,46.522900,0.000000
50.337600,46.072100,0.000000
50.007300,45.621400,0.000000
49.677000,45.170700,0.000000
49.346700,44.720000,0.000000
49.016300,44.269300,0.000000
48.685900,43.818600,0.000000
48.355600,43.367900,0.000000
48.025200,42.917300,0.000000
47.694800,42.466600,0.000000
47.364300,42.016000,0.000000
47.033900,41.565300,0.000000
46.703500,41.114700,0.000000
46.373000,40.664100,0.000000
46.042500,40.213500,0.000000
45.712100,39.762900,0.000000
45.381600,39.312300,0.000000
45.051100,38.861700,0.000000
44.720600,38.411100,0.000000
44.390000,37.960500,0.000000
44.059500,37.510000,0.000000
43.729000,37.059400,0.000000
43.398400,36.608900,0.000000
43.067800,36.158400,0.000000
42.737300,35.707800,0.000000
42.406700,35.257300,0.000000
42.076100,34.806800,0.000000
41.745500,34.356300,0.000000
41.414800,33.905800,0.000000
41.084200,33.455300,0.000000
40.753600,33.004800,0.000000
40.422900,32.554300,0.000000
40.092300,32.103900,0.000000
39.761600,31.653400,0.000000
39.431000,31.202900,0.000000
39.100300,30.752500,0.000000
38.769600,30.302000,0.000000
38.438900,29.851600,0.000000
38.108200,29.401100,0.000000
37.777500,28.950700,0.000000
37.446800,28.500200,0.000000
37.116100,28.049800,0.000000
36.785400,27.599400,0.000000
36.454600,27.149000,0.000000
36.123900,26.698600,0.000000
35.793200,26.248200,0.000000
35.462400,25.797800,0.000000
35.131700,25.347300,0.000000
34.800900,24.896900,0.000000
34.470200,24.446600,0.000000
34.139400,23.996200,0.000000
33.808600,23.545800,0.000000
33.477900,23.095400,0.000000
33.147100,22.645000,0.000000
32.816300,22.194600,0.000000
32.485500,21.744200,0.000000
32.154700,21.293900,0.000000
31.823900,20.843500,0.000000
31.493200,20.393100,0.000000
31.162400,19.942800,0.000000
30.831600,19.492400,0.000000
30.500800,19.042000,0.000000
30.170000,18.591600,0.000000
29.839200,18.141300,0.000000
29.508400,17.690900,0.000000
29.177600,17.240600,0.000000
28.846800,16.790200,0.000000
28.516000,16.339800,0.000000
28.185200,15.889500,0.000000
27.854300,15.439100,0.000000
27.523500,14.988700,0.000000
27.192700,14.538400,0.000000
26.861900,14.088000,0.000000
26.531100,13.637700,0.000000
26.200300,13.187300,0.000000
25.869500,12.736900,0.000000
25.538700,12.286600,0.000000
25.207900,11.836200,0.000000
24.877100,11.385800,0.000000
24.546300,10.935500,0.000000
24.215500,10.485100,0.000000
23.884700,10.034700,0.000000
23.554000,9.584300,0.000000
23.223200,9.134000,0.000000
22.892400,8.683600,0.000000
22.561600,8.233200,0.000000
22.230800,7.782800,0.000000
21.900100,7.332400,0.000000
21.569300,6.882000,0.000000
21.238500,6.431700,0.000000
20.907800,5.981300,0.000000
20.577000,5.530900,0.000000
20.246300,5.080500,0.000000
19.915500,4.630100,0.000000
19.584800,4.179600,0.000000
19.254100,3.729200,0.000000
18.923300,3.278800,0.000000
18.592600,2.828400,0.000000
18.261900,2.378000,0.000000
17.931200,1.927500,0.000000
17.600500,1.477100,0.000000
17.269800,1.026600,0.000000
16.939100,0.576200,0.000000
16.608400,0.125700,0.000000
16.277800,-0.324700,0.000000
15.947100,-0.775200,0.000000
15.616400,-1.225600,0.000000
15.285800,-1.676100,0.000000
14.955100,-2.126600,0.000000
14.624500,-2.577100,0.000000
14.293900,-3.027600,0.000000
13.963300,-3.478100,0.000000
13.632700,-3.928600,0.000000
13.302100,-4.379100,0.000000
